review_tokens_stemmed,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
mantap,Positif,"{'classified_text': 'mantap [4]', 'tweet_text': ' mantap', 'sentence_score': ['mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mantap [4], mantap,['mantap [4]'],4,-1,positif
bismillah moga cocok,Positif,"{'classified_text': 'bismillah moga cocok [3]', 'tweet_text': ' bismillah moga cocok', 'sentence_score': ['bismillah moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bismillah moga cocok [3], bismillah moga cocok,['bismillah moga cocok [3]'],3,-1,positif
kecewa banget pokok,Negatif,"{'classified_text': 'kecewa [-4] banget pokok', 'tweet_text': ' kecewa banget pokok', 'sentence_score': ['kecewa [-4] banget pokok'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",kecewa [-4] banget pokok, kecewa banget pokok,['kecewa [-4] banget pokok'],1,-4,negatif
kecewaaaaa kirim lama wajah jadi breakout enggak tau bagaimana enggak erti,Negatif,"{'classified_text': 'kecewa [-4] kirim lama [-2] wajah jadi breakout enggak tau bagaimana enggak erti', 'tweet_text': ' kecewa kirim lama wajah jadi breakout enggak tau bagaimana enggak erti', 'sentence_score': ['kecewa [-4] kirim lama [-2] wajah jadi breakout enggak tau bagaimana enggak erti'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",kecewa [-4] kirim lama [-2] wajah jadi breakout enggak tau bagaimana enggak erti, kecewa kirim lama wajah jadi breakout enggak tau bagaimana enggak erti,['kecewa [-4] kirim lama [-2] wajah jadi breakout enggak tau bagaimana enggak erti'],1,-1,netral
moga cocok,Positif,"{'classified_text': 'moga cocok [3]', 'tweet_text': ' moga cocok', 'sentence_score': ['moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",moga cocok [3], moga cocok,['moga cocok [3]'],3,-1,positif
belum coba,Netral,"{'classified_text': 'belum coba', 'tweet_text': ' belum coba', 'sentence_score': ['belum coba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",belum coba, belum coba,['belum coba'],1,-1,netral
langgan cocok pakai serum thanks seller,Positif,"{'classified_text': 'langgan cocok [3] pakai serum thanks seller', 'tweet_text': ' langgan cocok pakai serum thanks seller', 'sentence_score': ['langgan cocok [3] pakai serum thanks seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",langgan cocok [3] pakai serum thanks seller, langgan cocok pakai serum thanks seller,['langgan cocok [3] pakai serum thanks seller'],3,-1,positif
serum benar benar cair banget pakai lama hari belum asa banget efek,Netral,"{'classified_text': 'serum benar [4] benar [5] cair banget pakai lama [-2] hari belum asa banget efek', 'tweet_text': ' serum benar benar cair banget pakai lama hari belum asa banget efek', 'sentence_score': ['serum benar [4] benar [5] cair banget pakai lama [-2] hari belum asa banget efek'], 'max_positive': 5, 'max_negative': -2, 'kelas': 'positif'}",serum benar [4] benar [5] cair banget pakai lama [-2] hari belum asa banget efek, serum benar benar cair banget pakai lama hari belum asa banget efek,['serum benar [4] benar [5] cair banget pakai lama [-2] hari belum asa banget efek'],5,-2,positif
mantap pakai banget jalan kirim lama banget,Netral,"{'classified_text': 'mantap [4] pakai banget jalan kirim lama [-3] banget', 'tweet_text': ' mantap pakai banget jalan kirim lama banget', 'sentence_score': ['mantap [4] pakai banget jalan kirim lama [-3] banget'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",mantap [4] pakai banget jalan kirim lama [-3] banget, mantap pakai banget jalan kirim lama banget,['mantap [4] pakai banget jalan kirim lama [-3] banget'],4,-3,positif
belum coba ngabisin dulu next bakal review kalo hasil,Netral,"{'classified_text': 'belum coba ngabisin dulu next bakal review kalo hasil', 'tweet_text': ' belum coba ngabisin dulu next bakal review kalo hasil', 'sentence_score': ['belum coba ngabisin dulu next bakal review kalo hasil'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",belum coba ngabisin dulu next bakal review kalo hasil, belum coba ngabisin dulu next bakal review kalo hasil,['belum coba ngabisin dulu next bakal review kalo hasil'],1,-1,netral
cocok banget buat oily skin kayak aku,Positif,"{'classified_text': 'cocok [4] banget buat oily skin kayak aku', 'tweet_text': ' cocok banget buat oily skin kayak aku', 'sentence_score': ['cocok [4] banget buat oily skin kayak aku'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",cocok [4] banget buat oily skin kayak aku, cocok banget buat oily skin kayak aku,['cocok [4] banget buat oily skin kayak aku'],4,-1,positif
baru sekali pakai rasa halus muka,Positif,"{'classified_text': 'baru sekali pakai rasa halus [3] muka', 'tweet_text': ' baru sekali pakai rasa halus muka', 'sentence_score': ['baru sekali pakai rasa halus [3] muka'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",baru sekali pakai rasa halus [3] muka, baru sekali pakai rasa halus muka,['baru sekali pakai rasa halus [3] muka'],3,-1,positif
barang enggak pernah tanggal hilang salah anteraja jadi enggak tau review apa,Netral,"{'classified_text': 'barang enggak pernah tanggal hilang [-3] salah [-5] anteraja jadi enggak tau review apa', 'tweet_text': ' barang enggak pernah tanggal hilang salah anteraja jadi enggak tau review apa', 'sentence_score': ['barang enggak pernah tanggal hilang [-3] salah [-5] anteraja jadi enggak tau review apa'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}",barang enggak pernah tanggal hilang [-3] salah [-5] anteraja jadi enggak tau review apa, barang enggak pernah tanggal hilang salah anteraja jadi enggak tau review apa,['barang enggak pernah tanggal hilang [-3] salah [-5] anteraja jadi enggak tau review apa'],1,-5,negatif
beli serta skin care nya tapitidak pernah terima sheet mask complaint lama banget ujung ujung nya tidak tindak lanjut kecewa banget,Negatif,"{'classified_text': 'beli serta skin care nya tapitidak pernah terima sheet mask complaint lama [-3] banget ujung ujung nya tidak tindak lanjut kecewa [-4] banget', 'tweet_text': ' beli serta skin care nya tapitidak pernah terima sheet mask complaint lama banget ujung ujung nya tidak tindak lanjut kecewa banget', 'sentence_score': ['beli serta skin care nya tapitidak pernah terima sheet mask complaint lama [-3] banget ujung ujung nya tidak tindak lanjut kecewa [-4] banget'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",beli serta skin care nya tapitidak pernah terima sheet mask complaint lama [-3] banget ujung ujung nya tidak tindak lanjut kecewa [-4] banget, beli serta skin care nya tapitidak pernah terima sheet mask complaint lama banget ujung ujung nya tidak tindak lanjut kecewa banget,['beli serta skin care nya tapitidak pernah terima sheet mask complaint lama [-3] banget ujung ujung nya tidak tindak lanjut kecewa [-4] banget'],1,-4,negatif
harus free sesuai jam order buru cekout biar enggak habis pesan datang cuma produk nya free nya enggak asli kecewa baru ngalamin begini,Negatif,"{'classified_text': 'harus free sesuai [3] jam order buru cekout biar enggak habis pesan datang cuma [-2] produk nya free nya enggak asli [-4] kecewa [-4] baru ngalamin begini', 'tweet_text': ' harus free sesuai jam order buru cekout biar enggak habis pesan datang cuma produk nya free nya enggak asli kecewa baru ngalamin begini', 'sentence_score': ['harus free sesuai [3] jam order buru cekout biar enggak habis pesan datang cuma [-2] produk nya free nya enggak asli [-4] kecewa [-4] baru ngalamin begini'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",harus free sesuai [3] jam order buru cekout biar enggak habis pesan datang cuma [-2] produk nya free nya enggak asli [-4] kecewa [-4] baru ngalamin begini, harus free sesuai jam order buru cekout biar enggak habis pesan datang cuma produk nya free nya enggak asli kecewa baru ngalamin begini,['harus free sesuai [3] jam order buru cekout biar enggak habis pesan datang cuma [-2] produk nya free nya enggak asli [-4] kecewa [-4] baru ngalamin begini'],3,-4,negatif
melembabkan banget tekstur kental cepat banget nyerepnya,Netral,"{'classified_text': 'melembabkan banget tekstur kental cepat [5] banget nyerepnya', 'tweet_text': ' melembabkan banget tekstur kental cepat banget nyerepnya', 'sentence_score': ['melembabkan banget tekstur kental cepat [5] banget nyerepnya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",melembabkan banget tekstur kental cepat [5] banget nyerepnya, melembabkan banget tekstur kental cepat banget nyerepnya,['melembabkan banget tekstur kental cepat [5] banget nyerepnya'],5,-1,positif
packaging nya jelek banget sih kayak nya oknum mau ngambil barang kardus buka bagi samping enggak segel next nya packing lebih baik,Negatif,"{'classified_text': 'packaging nya jelek [-5] banget sih kayak nya oknum mau ngambil barang kardus buka bagi samping enggak segel next nya packing lebih baik [5]', 'tweet_text': ' packaging nya jelek banget sih kayak nya oknum mau ngambil barang kardus buka bagi samping enggak segel next nya packing lebih baik', 'sentence_score': ['packaging nya jelek [-5] banget sih kayak nya oknum mau ngambil barang kardus buka bagi samping enggak segel next nya packing lebih baik [5]'], 'max_positive': 5, 'max_negative': -5, 'kelas': 'netral'}",packaging nya jelek [-5] banget sih kayak nya oknum mau ngambil barang kardus buka bagi samping enggak segel next nya packing lebih baik [5], packaging nya jelek banget sih kayak nya oknum mau ngambil barang kardus buka bagi samping enggak segel next nya packing lebih baik,['packaging nya jelek [-5] banget sih kayak nya oknum mau ngambil barang kardus buka bagi samping enggak segel next nya packing lebih baik [5]'],5,-5,netral
tipu tidak gratis hadiah sarung gambar,Negatif,"{'classified_text': 'tipu [-4] tidak gratis hadiah [3] sarung gambar', 'tweet_text': ' tipu tidak gratis hadiah sarung gambar', 'sentence_score': ['tipu [-4] tidak gratis hadiah [3] sarung gambar'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",tipu [-4] tidak gratis hadiah [3] sarung gambar, tipu tidak gratis hadiah sarung gambar,['tipu [-4] tidak gratis hadiah [3] sarung gambar'],3,-4,negatif
janji expired tahu dapetnyabulan,Negatif,"{'classified_text': 'janji expired tahu dapetnyabulan', 'tweet_text': ' janji expired tahu dapetnyabulan', 'sentence_score': ['janji expired tahu dapetnyabulan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",janji expired tahu dapetnyabulan, janji expired tahu dapetnyabulan,['janji expired tahu dapetnyabulan'],1,-1,netral
pesan masker kirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak rugi begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benar kecewa buat customer kalo baca please be more careful kalo pesan sini sibuk apa sempetin video unboxing,Negatif,"{'classified_text': 'pesan masker kirim my bad enggak video unboxing nya kecewa [-4] banget lalai [-5] banget team packing nya please kerja fokus benar [4] biar customer enggak rugi [4] begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benar [4] kecewa [-3] buat customer kalo baca please be more careful kalo pesan sini sibuk [1] apa sempetin video unboxing', 'tweet_text': ' pesan masker kirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak rugi begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benar kecewa buat customer kalo baca please be more careful kalo pesan sini sibuk apa sempetin video unboxing', 'sentence_score': ['pesan masker kirim my bad enggak video unboxing nya kecewa [-4] banget lalai [-5] banget team packing nya please kerja fokus benar [4] biar customer enggak rugi [4] begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benar [4] kecewa [-3] buat customer kalo baca please be more careful kalo pesan sini sibuk [1] apa sempetin video unboxing'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}",pesan masker kirim my bad enggak video unboxing nya kecewa [-4] banget lalai [-5] banget team packing nya please kerja fokus benar [4] biar customer enggak rugi [4] begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benar [4] kecewa [-3] buat customer kalo baca please be more careful kalo pesan sini sibuk [1] apa sempetin video unboxing, pesan masker kirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak rugi begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benar kecewa buat customer kalo baca please be more careful kalo pesan sini sibuk apa sempetin video unboxing,['pesan masker kirim my bad enggak video unboxing nya kecewa [-4] banget lalai [-5] banget team packing nya please kerja fokus benar [4] biar customer enggak rugi [4] begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benar [4] kecewa [-3] buat customer kalo baca please be more careful kalo pesan sini sibuk [1] apa sempetin video unboxing'],4,-5,negatif
bahan ringan moga cocok,Positif,"{'classified_text': 'bahan ringan moga cocok [3]', 'tweet_text': ' bahan ringan moga cocok', 'sentence_score': ['bahan ringan moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bahan ringan moga cocok [3], bahan ringan moga cocok,['bahan ringan moga cocok [3]'],3,-1,positif
tipe kulit minyak,Netral,"{'classified_text': 'tipe kulit minyak', 'tweet_text': ' tipe kulit minyak', 'sentence_score': ['tipe kulit minyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit minyak, tipe kulit minyak,['tipe kulit minyak'],1,-1,netral
ringan banget bibir lup lup dah buat azarine,Netral,"{'classified_text': 'ringan banget bibir lup lup dah buat azarine', 'tweet_text': ' ringan banget bibir lup lup dah buat azarine', 'sentence_score': ['ringan banget bibir lup lup dah buat azarine'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",ringan banget bibir lup lup dah buat azarine, ringan banget bibir lup lup dah buat azarine,['ringan banget bibir lup lup dah buat azarine'],1,-1,netral
no review found,Netral,"{'classified_text': 'no review found', 'tweet_text': ' no review found', 'sentence_score': ['no review found'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",no review found, no review found,['no review found'],1,-1,netral
kali paket white series dtng cuman harus komplain enggak direspon sama sekali pantas dalam paket kertas cara aju komplain nyata memang enggak beres isi,Negatif,"{'classified_text': 'kali paket white series dtng cuman harus komplain enggak direspon sama sekali pantas [4] dalam paket kertas cara aju komplain nyata memang enggak beres isi', 'tweet_text': ' kali paket white series dtng cuman harus komplain enggak direspon sama sekali pantas dalam paket kertas cara aju komplain nyata memang enggak beres isi', 'sentence_score': ['kali paket white series dtng cuman harus komplain enggak direspon sama sekali pantas [4] dalam paket kertas cara aju komplain nyata memang enggak beres isi'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",kali paket white series dtng cuman harus komplain enggak direspon sama sekali pantas [4] dalam paket kertas cara aju komplain nyata memang enggak beres isi, kali paket white series dtng cuman harus komplain enggak direspon sama sekali pantas dalam paket kertas cara aju komplain nyata memang enggak beres isi,['kali paket white series dtng cuman harus komplain enggak direspon sama sekali pantas [4] dalam paket kertas cara aju komplain nyata memang enggak beres isi'],4,-1,positif
tidak barang nya,Negatif,"{'classified_text': 'tidak barang nya', 'tweet_text': ' tidak barang nya', 'sentence_score': ['tidak barang nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tidak barang nya, tidak barang nya,['tidak barang nya'],1,-1,netral
bikin bruntusan geleuh muka jadi lihat rasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhir buat tangan area tubuh gelap deh,Negatif,"{'classified_text': 'bikin bruntusan geleuh muka jadi lihat rasa kotor [-4] banget ewh pakai sunscreen toner soft light no deh benar [4] kata orang buat kulit sensitif [-2] kering jangan pakai akhir buat tangan area tubuh gelap [-2] deh', 'tweet_text': ' bikin bruntusan geleuh muka jadi lihat rasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhir buat tangan area tubuh gelap deh', 'sentence_score': ['bikin bruntusan geleuh muka jadi lihat rasa kotor [-4] banget ewh pakai sunscreen toner soft light no deh benar [4] kata orang buat kulit sensitif [-2] kering jangan pakai akhir buat tangan area tubuh gelap [-2] deh'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",bikin bruntusan geleuh muka jadi lihat rasa kotor [-4] banget ewh pakai sunscreen toner soft light no deh benar [4] kata orang buat kulit sensitif [-2] kering jangan pakai akhir buat tangan area tubuh gelap [-2] deh, bikin bruntusan geleuh muka jadi lihat rasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhir buat tangan area tubuh gelap deh,['bikin bruntusan geleuh muka jadi lihat rasa kotor [-4] banget ewh pakai sunscreen toner soft light no deh benar [4] kata orang buat kulit sensitif [-2] kering jangan pakai akhir buat tangan area tubuh gelap [-2] deh'],4,-4,netral
serum enggak kirim,Negatif,"{'classified_text': 'serum enggak kirim', 'tweet_text': ' serum enggak kirim', 'sentence_score': ['serum enggak kirim'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",serum enggak kirim, serum enggak kirim,['serum enggak kirim'],1,-1,netral
baru pertama coba pakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,Positif,"{'classified_text': 'baru pertama coba pakai beberapa hari sunscreennya bagus [5] banget cocok [4] buat acne face ku enggak lengket sama sekali', 'tweet_text': ' baru pertama coba pakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali', 'sentence_score': ['baru pertama coba pakai beberapa hari sunscreennya bagus [5] banget cocok [4] buat acne face ku enggak lengket sama sekali'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",baru pertama coba pakai beberapa hari sunscreennya bagus [5] banget cocok [4] buat acne face ku enggak lengket sama sekali, baru pertama coba pakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,['baru pertama coba pakai beberapa hari sunscreennya bagus [5] banget cocok [4] buat acne face ku enggak lengket sama sekali'],5,-1,positif
