review_tokens_stemmed,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
oke,Negatif,"{'classified_text': 'oke [3]', 'tweet_text': ' oke', 'sentence_score': ['oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",oke [3], oke,['oke [3]'],3,-1,positif
gratis mini pouch terima kasih moga cocok,Netral,"{'classified_text': 'gratis mini pouch terima kasih [4] moga cocok [3]', 'tweet_text': ' gratis mini pouch terima kasih moga cocok', 'sentence_score': ['gratis mini pouch terima kasih [4] moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",gratis mini pouch terima kasih [4] moga cocok [3], gratis mini pouch terima kasih moga cocok,['gratis mini pouch terima kasih [4] moga cocok [3]'],4,-1,positif
alhamdulillah barang moga cocok selau harga diskon yes,Negatif,"{'classified_text': 'alhamdulillah barang moga cocok [3] selau harga diskon yes', 'tweet_text': ' alhamdulillah barang moga cocok selau harga diskon yes', 'sentence_score': ['alhamdulillah barang moga cocok [3] selau harga diskon yes'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",alhamdulillah barang moga cocok [3] selau harga diskon yes, alhamdulillah barang moga cocok selau harga diskon yes,['alhamdulillah barang moga cocok [3] selau harga diskon yes'],3,-1,positif
cocok sama produk,Positif,"{'classified_text': 'cocok [3] sama produk', 'tweet_text': ' cocok sama produk', 'sentence_score': ['cocok [3] sama produk'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] sama produk, cocok sama produk,['cocok [3] sama produk'],3,-1,positif
kali kali beli toko official kali beli selalu amanah thanks,Positif,"{'classified_text': 'kali kali beli toko official kali beli selalu amanah thanks', 'tweet_text': ' kali kali beli toko official kali beli selalu amanah thanks', 'sentence_score': ['kali kali beli toko official kali beli selalu amanah thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",kali kali beli toko official kali beli selalu amanah thanks, kali kali beli toko official kali beli selalu amanah thanks,['kali kali beli toko official kali beli selalu amanah thanks'],1,-1,netral
barang nya oke,Positif,"{'classified_text': 'barang nya oke [3]', 'tweet_text': ' barang nya oke', 'sentence_score': ['barang nya oke [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",barang nya oke [3], barang nya oke,['barang nya oke [3]'],3,-1,positif
repeat order,Netral,"{'classified_text': 'repeat order', 'tweet_text': ' repeat order', 'sentence_score': ['repeat order'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",repeat order, repeat order,['repeat order'],1,-1,netral
masalah kulit pori besar,Negatif,"{'classified_text': 'masalah [-4] kulit pori besar [3]', 'tweet_text': ' masalah kulit pori besar', 'sentence_score': ['masalah [-4] kulit pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",masalah [-4] kulit pori besar [3], masalah kulit pori besar,['masalah [-4] kulit pori besar [3]'],3,-4,negatif
beda nih pertama beli first time coba jatuh cinta banget waktu pilih shade strawberrypine sama raspberry muffin terus beli dua rasa formula beda banget lebih minyak short lasting masa iya habis minum air hilang lah coba rugi dong sudah aku pindah haluan byeee,Negatif,"{'classified_text': 'beda nih pertama beli first time coba jatuh [-3] cinta [6] banget waktu pilih shade strawberrypine sama raspberry muffin terus beli dua rasa formula beda banget lebih minyak short lasting masa iya habis minum air hilang [-3] lah coba rugi [-4] dong sudah aku pindah haluan bye', 'tweet_text': ' beda nih pertama beli first time coba jatuh cinta banget waktu pilih shade strawberrypine sama raspberry muffin terus beli dua rasa formula beda banget lebih minyak short lasting masa iya habis minum air hilang lah coba rugi dong sudah aku pindah haluan bye', 'sentence_score': ['beda nih pertama beli first time coba jatuh [-3] cinta [6] banget waktu pilih shade strawberrypine sama raspberry muffin terus beli dua rasa formula beda banget lebih minyak short lasting masa iya habis minum air hilang [-3] lah coba rugi [-4] dong sudah aku pindah haluan bye'], 'max_positive': 6, 'max_negative': -4, 'kelas': 'positif'}",beda nih pertama beli first time coba jatuh [-3] cinta [6] banget waktu pilih shade strawberrypine sama raspberry muffin terus beli dua rasa formula beda banget lebih minyak short lasting masa iya habis minum air hilang [-3] lah coba rugi [-4] dong sudah aku pindah haluan bye, beda nih pertama beli first time coba jatuh cinta banget waktu pilih shade strawberrypine sama raspberry muffin terus beli dua rasa formula beda banget lebih minyak short lasting masa iya habis minum air hilang lah coba rugi dong sudah aku pindah haluan bye,['beda nih pertama beli first time coba jatuh [-3] cinta [6] banget waktu pilih shade strawberrypine sama raspberry muffin terus beli dua rasa formula beda banget lebih minyak short lasting masa iya habis minum air hilang [-3] lah coba rugi [-4] dong sudah aku pindah haluan bye'],6,-4,positif
tipe kulit minyak tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar overall worth,Netral,"{'classified_text': 'tipe kulit minyak tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] overall worth', 'tweet_text': ' tipe kulit minyak tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar overall worth', 'sentence_score': ['tipe kulit minyak tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] overall worth'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}",tipe kulit minyak tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] overall worth, tipe kulit minyak tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar overall worth,['tipe kulit minyak tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3] overall worth'],3,-5,negatif
cepat kirim baik bubble warp,Netral,"{'classified_text': 'cepat [4] kirim baik [4] bubble warp', 'tweet_text': ' cepat kirim baik bubble warp', 'sentence_score': ['cepat [4] kirim baik [4] bubble warp'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",cepat [4] kirim baik [4] bubble warp, cepat kirim baik bubble warp,['cepat [4] kirim baik [4] bubble warp'],4,-1,positif
tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar,Netral,"{'classified_text': 'tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3]', 'tweet_text': ' tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar', 'sentence_score': ['tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3]'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}",tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3], tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar,['tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3]'],3,-5,negatif
harga ceban yay belum coba,Netral,"{'classified_text': 'harga ceban yay belum coba', 'tweet_text': ' harga ceban yay belum coba', 'sentence_score': ['harga ceban yay belum coba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",harga ceban yay belum coba, harga ceban yay belum coba,['harga ceban yay belum coba'],1,-1,netral
beli sekian kali cocok muka kalo pas jerawat kulit tetap bnafas,Netral,"{'classified_text': 'beli sekian kali cocok [4] muka kalo pas jerawat kulit tetap bnafas', 'tweet_text': ' beli sekian kali cocok muka kalo pas jerawat kulit tetap bnafas', 'sentence_score': ['beli sekian kali cocok [4] muka kalo pas jerawat kulit tetap bnafas'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",beli sekian kali cocok [4] muka kalo pas jerawat kulit tetap bnafas, beli sekian kali cocok muka kalo pas jerawat kulit tetap bnafas,['beli sekian kali cocok [4] muka kalo pas jerawat kulit tetap bnafas'],4,-1,positif
nyata baru pertama kali moga cocok,Netral,"{'classified_text': 'nyata baru pertama kali moga cocok [3]', 'tweet_text': ' nyata baru pertama kali moga cocok', 'sentence_score': ['nyata baru pertama kali moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",nyata baru pertama kali moga cocok [3], nyata baru pertama kali moga cocok,['nyata baru pertama kali moga cocok [3]'],3,-1,positif
mudah cocok terima kasih,Positif,"{'classified_text': 'mudah [3] cocok [4] terima kasih [4]', 'tweet_text': ' mudah cocok terima kasih', 'sentence_score': ['mudah [3] cocok [4] terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mudah [3] cocok [4] terima kasih [4], mudah cocok terima kasih,['mudah [3] cocok [4] terima kasih [4]'],4,-1,positif
sering beli selalu cocok,Netral,"{'classified_text': 'sering beli selalu cocok [3]', 'tweet_text': ' sering beli selalu cocok', 'sentence_score': ['sering beli selalu cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",sering beli selalu cocok [3], sering beli selalu cocok,['sering beli selalu cocok [3]'],3,-1,positif
barang datang selamat lama datang,Netral,"{'classified_text': 'barang datang selamat [4] lama [-2] datang', 'tweet_text': ' barang datang selamat lama datang', 'sentence_score': ['barang datang selamat [4] lama [-2] datang'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}",barang datang selamat [4] lama [-2] datang, barang datang selamat lama datang,['barang datang selamat [4] lama [-2] datang'],4,-2,positif
packing nya bagus banget cream harga segitu tekstur ringan cepat resap kulit enggak bau sengat sama sekali moga cocok kulit aku kering bruntusan terima kasih,Positif,"{'classified_text': 'packing nya bagus [5] banget cream harga segitu tekstur ringan cepat [4] resap kulit enggak bau [-4] sengat sama sekali moga cocok [3] kulit aku kering bruntusan terima kasih [4]', 'tweet_text': ' packing nya bagus banget cream harga segitu tekstur ringan cepat resap kulit enggak bau sengat sama sekali moga cocok kulit aku kering bruntusan terima kasih', 'sentence_score': ['packing nya bagus [5] banget cream harga segitu tekstur ringan cepat [4] resap kulit enggak bau [-4] sengat sama sekali moga cocok [3] kulit aku kering bruntusan terima kasih [4]'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}",packing nya bagus [5] banget cream harga segitu tekstur ringan cepat [4] resap kulit enggak bau [-4] sengat sama sekali moga cocok [3] kulit aku kering bruntusan terima kasih [4], packing nya bagus banget cream harga segitu tekstur ringan cepat resap kulit enggak bau sengat sama sekali moga cocok kulit aku kering bruntusan terima kasih,['packing nya bagus [5] banget cream harga segitu tekstur ringan cepat [4] resap kulit enggak bau [-4] sengat sama sekali moga cocok [3] kulit aku kering bruntusan terima kasih [4]'],5,-4,positif
terima kasih,Netral,"{'classified_text': 'terima kasih [4]', 'tweet_text': ' terima kasih', 'sentence_score': ['terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",terima kasih [4], terima kasih,['terima kasih [4]'],4,-1,positif
bahan ringan mudah serap cocok kulit aku jerawat enggak bikin breakout the best pokok,Netral,"{'classified_text': 'bahan ringan mudah [3] serap cocok [3] kulit aku jerawat enggak bikin breakout the best pokok', 'tweet_text': ' bahan ringan mudah serap cocok kulit aku jerawat enggak bikin breakout the best pokok', 'sentence_score': ['bahan ringan mudah [3] serap cocok [3] kulit aku jerawat enggak bikin breakout the best pokok'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bahan ringan mudah [3] serap cocok [3] kulit aku jerawat enggak bikin breakout the best pokok, bahan ringan mudah serap cocok kulit aku jerawat enggak bikin breakout the best pokok,['bahan ringan mudah [3] serap cocok [3] kulit aku jerawat enggak bikin breakout the best pokok'],3,-1,positif
tipe kulit kombinasi masalah kulit jerawat,Netral,"{'classified_text': 'tipe kulit kombinasi masalah [-4] kulit jerawat', 'tweet_text': ' tipe kulit kombinasi masalah kulit jerawat', 'sentence_score': ['tipe kulit kombinasi masalah [-4] kulit jerawat'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",tipe kulit kombinasi masalah [-4] kulit jerawat, tipe kulit kombinasi masalah kulit jerawat,['tipe kulit kombinasi masalah [-4] kulit jerawat'],1,-4,negatif
tipe kulit kombinasi,Netral,"{'classified_text': 'tipe kulit kombinasi', 'tweet_text': ' tipe kulit kombinasi', 'sentence_score': ['tipe kulit kombinasi'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulit kombinasi, tipe kulit kombinasi,['tipe kulit kombinasi'],1,-1,netral
tipe kulit minyak masalah kulit pori besar original terima kasih,Netral,"{'classified_text': 'tipe kulit minyak masalah [-4] kulit pori besar [3] original terima kasih [4]', 'tweet_text': ' tipe kulit minyak masalah kulit pori besar original terima kasih', 'sentence_score': ['tipe kulit minyak masalah [-4] kulit pori besar [3] original terima kasih [4]'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",tipe kulit minyak masalah [-4] kulit pori besar [3] original terima kasih [4], tipe kulit minyak masalah kulit pori besar original terima kasih,['tipe kulit minyak masalah [-4] kulit pori besar [3] original terima kasih [4]'],4,-4,netral
bahan ringan cocok guna,Positif,"{'classified_text': 'bahan ringan cocok [3] guna', 'tweet_text': ' bahan ringan cocok guna', 'sentence_score': ['bahan ringan cocok [3] guna'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bahan ringan cocok [3] guna, bahan ringan cocok guna,['bahan ringan cocok [3] guna'],3,-1,positif
tipe kulit minyak baru mau coba maka belum coba punya teman cocok,Netral,"{'classified_text': 'tipe kulit minyak baru mau coba maka belum coba punya teman cocok [3]', 'tweet_text': ' tipe kulit minyak baru mau coba maka belum coba punya teman cocok', 'sentence_score': ['tipe kulit minyak baru mau coba maka belum coba punya teman cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",tipe kulit minyak baru mau coba maka belum coba punya teman cocok [3], tipe kulit minyak baru mau coba maka belum coba punya teman cocok,['tipe kulit minyak baru mau coba maka belum coba punya teman cocok [3]'],3,-1,positif
barang datang sesuai packing nya aman kirim cepat,Netral,"{'classified_text': 'barang datang sesuai [3] packing nya aman [4] kirim cepat [4]', 'tweet_text': ' barang datang sesuai packing nya aman kirim cepat', 'sentence_score': ['barang datang sesuai [3] packing nya aman [4] kirim cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",barang datang sesuai [3] packing nya aman [4] kirim cepat [4], barang datang sesuai packing nya aman kirim cepat,['barang datang sesuai [3] packing nya aman [4] kirim cepat [4]'],4,-1,positif
asa cerah pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka,Netral,"{'classified_text': 'asa cerah [4] pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka', 'tweet_text': ' asa cerah pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka', 'sentence_score': ['asa cerah [4] pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",asa cerah [4] pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka, asa cerah pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka,['asa cerah [4] pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka'],4,-1,positif
beberapa tahun pakai memang cocok enggak white cast nyaman ringan thanks seller tipe kulit kombinasi,Netral,"{'classified_text': 'beberapa tahun pakai memang cocok [3] enggak white cast nyaman [4] ringan thanks seller tipe kulit kombinasi', 'tweet_text': ' beberapa tahun pakai memang cocok enggak white cast nyaman ringan thanks seller tipe kulit kombinasi', 'sentence_score': ['beberapa tahun pakai memang cocok [3] enggak white cast nyaman [4] ringan thanks seller tipe kulit kombinasi'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",beberapa tahun pakai memang cocok [3] enggak white cast nyaman [4] ringan thanks seller tipe kulit kombinasi, beberapa tahun pakai memang cocok enggak white cast nyaman ringan thanks seller tipe kulit kombinasi,['beberapa tahun pakai memang cocok [3] enggak white cast nyaman [4] ringan thanks seller tipe kulit kombinasi'],4,-1,positif
warna cantik banget,Netral,"{'classified_text': 'warna cantik [6] banget', 'tweet_text': ' warna cantik banget', 'sentence_score': ['warna cantik [6] banget'], 'max_positive': 6, 'max_negative': -1, 'kelas': 'positif'}",warna cantik [6] banget, warna cantik banget,['warna cantik [6] banget'],6,-1,positif
cocok tipe kulit kombinasi,Netral,"{'classified_text': 'cocok [3] tipe kulit kombinasi', 'tweet_text': ' cocok tipe kulit kombinasi', 'sentence_score': ['cocok [3] tipe kulit kombinasi'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",cocok [3] tipe kulit kombinasi, cocok tipe kulit kombinasi,['cocok [3] tipe kulit kombinasi'],3,-1,positif
