review_tokens_stemmed,Sentimen,sentimen
cepat kirim baik bubble warp,Netral,"{'classified_text': 'cepat [4] kirim baik [4] bubble warp', 'tweet_text': ' cepat kirim baik bubble warp', 'sentence_score': ['cepat [4] kirim baik [4] bubble warp'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar,Netral,"{'classified_text': 'tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3]', 'tweet_text': ' tipe kulit sensitif masalah kulit jerawat masalah kulit pori besar', 'sentence_score': ['tipe kulit sensitif [-2] masalah [-5] kulit jerawat masalah [-4] kulit pori besar [3]'], 'max_positive': 3, 'max_negative': -5, 'kelas': 'negatif'}"
harga ceban yay belum coba,Netral,"{'classified_text': 'harga ceban yay belum coba', 'tweet_text': ' harga ceban yay belum coba', 'sentence_score': ['harga ceban yay belum coba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
beli sekian kali cocok muka kalo pas jerawat kulit tetap bnafas,Netral,"{'classified_text': 'beli sekian kali cocok [4] muka kalo pas jerawat kulit tetap bnafas', 'tweet_text': ' beli sekian kali cocok muka kalo pas jerawat kulit tetap bnafas', 'sentence_score': ['beli sekian kali cocok [4] muka kalo pas jerawat kulit tetap bnafas'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
nyata baru pertama kali moga cocok,Netral,"{'classified_text': 'nyata baru pertama kali moga cocok [3]', 'tweet_text': ' nyata baru pertama kali moga cocok', 'sentence_score': ['nyata baru pertama kali moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
mudah cocok terima kasih,Positif,"{'classified_text': 'mudah [3] cocok [4] terima kasih [4]', 'tweet_text': ' mudah cocok terima kasih', 'sentence_score': ['mudah [3] cocok [4] terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
sering beli selalu cocok,Netral,"{'classified_text': 'sering beli selalu cocok [3]', 'tweet_text': ' sering beli selalu cocok', 'sentence_score': ['sering beli selalu cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
barang datang selamat lama datang,Netral,"{'classified_text': 'barang datang selamat [4] lama [-2] datang', 'tweet_text': ' barang datang selamat lama datang', 'sentence_score': ['barang datang selamat [4] lama [-2] datang'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
packing nya bagus banget cream harga segitu tekstur ringan cepat resap kulit enggak bau sengat sama sekali moga cocok kulit aku kering bruntusan terima kasih,Positif,"{'classified_text': 'packing nya bagus [5] banget cream harga segitu tekstur ringan cepat [4] resap kulit enggak bau [-4] sengat sama sekali moga cocok [3] kulit aku kering bruntusan terima kasih [4]', 'tweet_text': ' packing nya bagus banget cream harga segitu tekstur ringan cepat resap kulit enggak bau sengat sama sekali moga cocok kulit aku kering bruntusan terima kasih', 'sentence_score': ['packing nya bagus [5] banget cream harga segitu tekstur ringan cepat [4] resap kulit enggak bau [-4] sengat sama sekali moga cocok [3] kulit aku kering bruntusan terima kasih [4]'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
terima kasih,Netral,"{'classified_text': 'terima kasih [4]', 'tweet_text': ' terima kasih', 'sentence_score': ['terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bahan ringan mudah serap cocok kulit aku jerawat enggak bikin breakout the best pokok,Netral,"{'classified_text': 'bahan ringan mudah [3] serap cocok [3] kulit aku jerawat enggak bikin breakout the best pokok', 'tweet_text': ' bahan ringan mudah serap cocok kulit aku jerawat enggak bikin breakout the best pokok', 'sentence_score': ['bahan ringan mudah [3] serap cocok [3] kulit aku jerawat enggak bikin breakout the best pokok'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulit kombinasi masalah kulit jerawat,Netral,"{'classified_text': 'tipe kulit kombinasi masalah [-4] kulit jerawat', 'tweet_text': ' tipe kulit kombinasi masalah kulit jerawat', 'sentence_score': ['tipe kulit kombinasi masalah [-4] kulit jerawat'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
tipe kulit kombinasi,Netral,"{'classified_text': 'tipe kulit kombinasi', 'tweet_text': ' tipe kulit kombinasi', 'sentence_score': ['tipe kulit kombinasi'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
tipe kulit minyak masalah kulit pori besar original terima kasih,Netral,"{'classified_text': 'tipe kulit minyak masalah [-4] kulit pori besar [3] original terima kasih [4]', 'tweet_text': ' tipe kulit minyak masalah kulit pori besar original terima kasih', 'sentence_score': ['tipe kulit minyak masalah [-4] kulit pori besar [3] original terima kasih [4]'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
bahan ringan cocok guna,Positif,"{'classified_text': 'bahan ringan cocok [3] guna', 'tweet_text': ' bahan ringan cocok guna', 'sentence_score': ['bahan ringan cocok [3] guna'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulit minyak baru mau coba maka belum coba punya teman cocok,Netral,"{'classified_text': 'tipe kulit minyak baru mau coba maka belum coba punya teman cocok [3]', 'tweet_text': ' tipe kulit minyak baru mau coba maka belum coba punya teman cocok', 'sentence_score': ['tipe kulit minyak baru mau coba maka belum coba punya teman cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
barang datang sesuai packing nya aman kirim cepat,Netral,"{'classified_text': 'barang datang sesuai [3] packing nya aman [4] kirim cepat [4]', 'tweet_text': ' barang datang sesuai packing nya aman kirim cepat', 'sentence_score': ['barang datang sesuai [3] packing nya aman [4] kirim cepat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
asa cerah pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka,Netral,"{'classified_text': 'asa cerah [4] pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka', 'tweet_text': ' asa cerah pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka', 'sentence_score': ['asa cerah [4] pakai cuman aku jadi bikin kering jadi mesti pakai pelembab muka'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
beberapa tahun pakai memang cocok enggak white cast nyaman ringan thanks seller tipe kulit kombinasi,Netral,"{'classified_text': 'beberapa tahun pakai memang cocok [3] enggak white cast nyaman [4] ringan thanks seller tipe kulit kombinasi', 'tweet_text': ' beberapa tahun pakai memang cocok enggak white cast nyaman ringan thanks seller tipe kulit kombinasi', 'sentence_score': ['beberapa tahun pakai memang cocok [3] enggak white cast nyaman [4] ringan thanks seller tipe kulit kombinasi'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
warna cantik banget,Netral,"{'classified_text': 'warna cantik [6] banget', 'tweet_text': ' warna cantik banget', 'sentence_score': ['warna cantik [6] banget'], 'max_positive': 6, 'max_negative': -1, 'kelas': 'positif'}"
cocok tipe kulit kombinasi,Netral,"{'classified_text': 'cocok [3] tipe kulit kombinasi', 'tweet_text': ' cocok tipe kulit kombinasi', 'sentence_score': ['cocok [3] tipe kulit kombinasi'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
jujur panik pas lihat dus penyok nyata isi aman meski pas buka dus kemas tutup botol moist nya kurang rapet untung isi aman enggak luber mana,Netral,"{'classified_text': 'jujur [4] panik [-3] pas lihat dus penyok [-4] nyata isi aman [4] meski pas buka dus kemas tutup botol moist nya kurang [-2] rapet untung isi aman [4] enggak luber mana [-4]', 'tweet_text': ' jujur panik pas lihat dus penyok nyata isi aman meski pas buka dus kemas tutup botol moist nya kurang rapet untung isi aman enggak luber mana', 'sentence_score': ['jujur [4] panik [-3] pas lihat dus penyok [-4] nyata isi aman [4] meski pas buka dus kemas tutup botol moist nya kurang [-2] rapet untung isi aman [4] enggak luber mana [-4]'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
jujur panik pas lihat dus penyok nyata isi aman meski pas buka dus kemas tutup botol moist nya kurang rapet untung isi aman enggak luber mana baru sekali pakai produk oke banget pas pakai kulit cocok suka sama packing baru,Netral,"{'classified_text': 'jujur [4] panik [-3] pas lihat dus penyok [-4] nyata isi aman [4] meski pas buka dus kemas tutup botol moist nya kurang [-2] rapet untung isi aman [4] enggak luber mana [-4] baru sekali pakai produk oke [4] banget pas pakai kulit cocok [3] suka [5] sama packing baru', 'tweet_text': ' jujur panik pas lihat dus penyok nyata isi aman meski pas buka dus kemas tutup botol moist nya kurang rapet untung isi aman enggak luber mana baru sekali pakai produk oke banget pas pakai kulit cocok suka sama packing baru', 'sentence_score': ['jujur [4] panik [-3] pas lihat dus penyok [-4] nyata isi aman [4] meski pas buka dus kemas tutup botol moist nya kurang [-2] rapet untung isi aman [4] enggak luber mana [-4] baru sekali pakai produk oke [4] banget pas pakai kulit cocok [3] suka [5] sama packing baru'], 'max_positive': 5, 'max_negative': -4, 'kelas': 'positif'}"
cocok kulit minyak kemas lucu,Netral,"{'classified_text': 'cocok [3] kulit minyak kemas lucu [4]', 'tweet_text': ' cocok kulit minyak kemas lucu', 'sentence_score': ['cocok [3] kulit minyak kemas lucu [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bahan ringan cepat resap terus packaging nya banget,Netral,"{'classified_text': 'bahan ringan cepat [4] resap terus packaging nya banget', 'tweet_text': ' bahan ringan cepat resap terus packaging nya banget', 'sentence_score': ['bahan ringan cepat [4] resap terus packaging nya banget'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
terima kasih banyak paket selamat,Netral,"{'classified_text': 'terima kasih [4] banyak paket selamat [4]', 'tweet_text': ' terima kasih banyak paket selamat', 'sentence_score': ['terima kasih [4] banyak paket selamat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
barang bagus sesuai packing mantap terima kasih,Netral,"{'classified_text': 'barang bagus [4] sesuai [4] packing mantap [4] terima kasih [4]', 'tweet_text': ' barang bagus sesuai packing mantap terima kasih', 'sentence_score': ['barang bagus [4] sesuai [4] packing mantap [4] terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
enggak usah tanya memang bagus lembab bantu pulih skin barier jauh moisturizer enggak ganti,Netral,"{'classified_text': 'enggak usah tanya memang bagus [4] lembab bantu pulih skin barier jauh [-2] moisturizer enggak ganti', 'tweet_text': ' enggak usah tanya memang bagus lembab bantu pulih skin barier jauh moisturizer enggak ganti', 'sentence_score': ['enggak usah tanya memang bagus [4] lembab bantu pulih skin barier jauh [-2] moisturizer enggak ganti'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
produk sangat bangus langsung serap buat lembab,Netral,"{'classified_text': 'produk sangat bangus langsung serap buat lembab', 'tweet_text': ' produk sangat bangus langsung serap buat lembab', 'sentence_score': ['produk sangat bangus langsung serap buat lembab'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
repurchase kali produk simple efektif packaging simple aman,Netral,"{'classified_text': 'repurchase kali produk simple efektif packaging simple aman [4]', 'tweet_text': ' repurchase kali produk simple efektif packaging simple aman', 'sentence_score': ['repurchase kali produk simple efektif packaging simple aman [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
cocok kulit tekstur ringan sangat cepat serap kulit super recommended,Positif,"{'classified_text': 'cocok [3] kulit tekstur ringan sangat cepat [6] serap kulit super [4] recommended', 'tweet_text': ' cocok kulit tekstur ringan sangat cepat serap kulit super recommended', 'sentence_score': ['cocok [3] kulit tekstur ringan sangat cepat [6] serap kulit super [4] recommended'], 'max_positive': 6, 'max_negative': -1, 'kelas': 'positif'}"
baru pertama kali beli skin game mudah mudah cocok,Negatif,"{'classified_text': 'baru pertama kali beli skin game mudah [3] mudah [4] cocok [4]', 'tweet_text': ' baru pertama kali beli skin game mudah mudah cocok', 'sentence_score': ['baru pertama kali beli skin game mudah [3] mudah [4] cocok [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
akhir temu moisturizer cocok moistnya ringan cepat serap aku pakai tube tube pakai bulan lebih gantung pakai,Netral,"{'classified_text': 'akhir temu moisturizer cocok [3] moistnya ringan cepat [4] serap aku pakai tube tube pakai bulan lebih gantung pakai', 'tweet_text': ' akhir temu moisturizer cocok moistnya ringan cepat serap aku pakai tube tube pakai bulan lebih gantung pakai', 'sentence_score': ['akhir temu moisturizer cocok [3] moistnya ringan cepat [4] serap aku pakai tube tube pakai bulan lebih gantung pakai'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bagus moga cocok,Netral,"{'classified_text': 'bagus [4] moga cocok [3]', 'tweet_text': ' bagus moga cocok', 'sentence_score': ['bagus [4] moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
baru mau coba moga cocok,Positif,"{'classified_text': 'baru mau coba moga cocok [3]', 'tweet_text': ' baru mau coba moga cocok', 'sentence_score': ['baru mau coba moga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
produk orisinal aman kakak adminnya ramah banget bakal repurchase deh kayak,Positif,"{'classified_text': 'produk orisinal aman [4] kakak adminnya ramah [5] banget bakal repurchase deh kayak', 'tweet_text': ' produk orisinal aman kakak adminnya ramah banget bakal repurchase deh kayak', 'sentence_score': ['produk orisinal aman [4] kakak adminnya ramah [5] banget bakal repurchase deh kayak'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
kirim emas cepat banget aman produk sesuai pernah coba lumayan bikin jerawat cepat mateng thankyou,Netral,"{'classified_text': 'kirim emas [4] cepat [6] banget aman [5] produk sesuai [3] pernah coba lumayan [2] bikin jerawat cepat [4] mateng thankyou', 'tweet_text': ' kirim emas cepat banget aman produk sesuai pernah coba lumayan bikin jerawat cepat mateng thankyou', 'sentence_score': ['kirim emas [4] cepat [6] banget aman [5] produk sesuai [3] pernah coba lumayan [2] bikin jerawat cepat [4] mateng thankyou'], 'max_positive': 6, 'max_negative': -1, 'kelas': 'positif'}"
bau aneh apek bau besi tempat pernah pakai sabun tanpa bau enggak pernah jadi kurang nyaman pakai sekarang,Netral,"{'classified_text': 'bau [-4] aneh [-2] apek bau [-4] besi tempat pernah pakai sabun tanpa bau [4] enggak pernah jadi kurang [-2] nyaman [2] pakai sekarang', 'tweet_text': ' bau aneh apek bau besi tempat pernah pakai sabun tanpa bau enggak pernah jadi kurang nyaman pakai sekarang', 'sentence_score': ['bau [-4] aneh [-2] apek bau [-4] besi tempat pernah pakai sabun tanpa bau [4] enggak pernah jadi kurang [-2] nyaman [2] pakai sekarang'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
dulu selalu jadi langgan solusi kalau jerawat bulan betul breakout tidak pikir lama langsung checkout holy grail love you rebu,Netral,"{'classified_text': 'dulu selalu jadi langgan solusi kalau jerawat bulan betul [4] breakout tidak pikir lama [-2] langsung checkout holy grail love you rebu', 'tweet_text': ' dulu selalu jadi langgan solusi kalau jerawat bulan betul breakout tidak pikir lama langsung checkout holy grail love you rebu', 'sentence_score': ['dulu selalu jadi langgan solusi kalau jerawat bulan betul [4] breakout tidak pikir lama [-2] langsung checkout holy grail love you rebu'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
barang selamat packagingnya aman moga cocok,Positif,"{'classified_text': 'barang selamat [4] packagingnya aman [4] moga cocok [3]', 'tweet_text': ' barang selamat packagingnya aman moga cocok', 'sentence_score': ['barang selamat [4] packagingnya aman [4] moga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
warna nya kuning entah apa,Netral,"{'classified_text': 'warna nya kuning entah apa', 'tweet_text': ' warna nya kuning entah apa', 'sentence_score': ['warna nya kuning entah apa'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
baru pertama kali coba moga cocok thank you seller,Positif,"{'classified_text': 'baru pertama kali coba moga cocok [3] thank you seller', 'tweet_text': ' baru pertama kali coba moga cocok thank you seller', 'sentence_score': ['baru pertama kali coba moga cocok [3] thank you seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
barang selamat,Negatif,"{'classified_text': 'barang selamat [4]', 'tweet_text': ' barang selamat', 'sentence_score': ['barang selamat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
packing rapi aman barang sesuai pesan,Netral,"{'classified_text': 'packing rapi [4] aman [5] barang sesuai [3] pesan', 'tweet_text': ' packing rapi aman barang sesuai pesan', 'sentence_score': ['packing rapi [4] aman [5] barang sesuai [3] pesan'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
this moisturizer is seriously game changer love how one bottle could last me months,Netral,"{'classified_text': 'this moisturizer is seriously game changer love how one bottle could last me months', 'tweet_text': ' this moisturizer is seriously game changer love how one bottle could last me months', 'sentence_score': ['this moisturizer is seriously game changer love how one bottle could last me months'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
