review_tokens,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
mantap,Positif,"{'classified_text': 'mantap [4]', 'tweet_text': ' mantap', 'sentence_score': ['mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mantap [4], mantap,['mantap [4]'],4,-1,positif
bismillah semoga cocok,Positif,"{'classified_text': 'bismillah semoga cocok [3]', 'tweet_text': ' bismillah semoga cocok', 'sentence_score': ['bismillah semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bismillah semoga cocok [3], bismillah semoga cocok,['bismillah semoga cocok [3]'],3,-1,positif
kecewa banget pokoknya,Negatif,"{'classified_text': 'kecewa [-4] banget pokoknya', 'tweet_text': ' kecewa banget pokoknya', 'sentence_score': ['kecewa [-4] banget pokoknya'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",kecewa [-4] banget pokoknya, kecewa banget pokoknya,['kecewa [-4] banget pokoknya'],1,-4,negatif
kecewa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti,Negatif,"{'classified_text': 'kecewa [-3] pengiriman lama [-2] wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti', 'tweet_text': ' kecewa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti', 'sentence_score': ['kecewa [-3] pengiriman lama [-2] wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",kecewa [-3] pengiriman lama [-2] wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti, kecewa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti,['kecewa [-3] pengiriman lama [-2] wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti'],1,-3,negatif
ok semoga cocok,Positif,"{'classified_text': 'ok [1] semoga cocok [3]', 'tweet_text': ' ok semoga cocok', 'sentence_score': ['ok [1] semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",ok [1] semoga cocok [3], ok semoga cocok,['ok [1] semoga cocok [3]'],3,-1,positif
ok belum dicoba,Netral,"{'classified_text': 'ok [1] belum dicoba', 'tweet_text': ' ok belum dicoba', 'sentence_score': ['ok [1] belum dicoba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",ok [1] belum dicoba, ok belum dicoba,['ok [1] belum dicoba'],1,-1,netral
sudah langganan karena cocok pakai serum ini thanks seller,Positif,"{'classified_text': 'sudah langganan karena cocok [3] pakai serum ini thanks seller', 'tweet_text': ' sudah langganan karena cocok pakai serum ini thanks seller', 'sentence_score': ['sudah langganan karena cocok [3] pakai serum ini thanks seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",sudah langganan karena cocok [3] pakai serum ini thanks seller, sudah langganan karena cocok pakai serum ini thanks seller,['sudah langganan karena cocok [3] pakai serum ini thanks seller'],3,-1,positif
serumnya benar benar cair banget ini pemakaian selama hari tapi belum berasa banget efeknya,Netral,"{'classified_text': 'serumnya benar [4] benar [5] cair banget ini pemakaian selama hari tapi belum berasa banget efeknya', 'tweet_text': ' serumnya benar benar cair banget ini pemakaian selama hari tapi belum berasa banget efeknya', 'sentence_score': ['serumnya benar [4] benar [5] cair banget ini pemakaian selama hari tapi belum berasa banget efeknya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",serumnya benar [4] benar [5] cair banget ini pemakaian selama hari tapi belum berasa banget efeknya, serumnya benar benar cair banget ini pemakaian selama hari tapi belum berasa banget efeknya,['serumnya benar [4] benar [5] cair banget ini pemakaian selama hari tapi belum berasa banget efeknya'],5,-1,positif
mantap pakai banget tapi perjalanan pengiriman lama banget,Netral,"{'classified_text': 'mantap [4] pakai banget tapi perjalanan pengiriman lama [-3] banget', 'tweet_text': ' mantap pakai banget tapi perjalanan pengiriman lama banget', 'sentence_score': ['mantap [4] pakai banget tapi perjalanan pengiriman lama [-3] banget'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",mantap [4] pakai banget tapi perjalanan pengiriman lama [-3] banget, mantap pakai banget tapi perjalanan pengiriman lama banget,['mantap [4] pakai banget tapi perjalanan pengiriman lama [-3] banget'],4,-3,positif
belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya,Netral,"{'classified_text': 'belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya', 'tweet_text': ' belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya', 'sentence_score': ['belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya, belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya,['belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya'],1,-1,netral
cocok banget buat oily skin kayak aku,Positif,"{'classified_text': 'cocok [4] banget buat oily skin kayak aku', 'tweet_text': ' cocok banget buat oily skin kayak aku', 'sentence_score': ['cocok [4] banget buat oily skin kayak aku'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",cocok [4] banget buat oily skin kayak aku, cocok banget buat oily skin kayak aku,['cocok [4] banget buat oily skin kayak aku'],4,-1,positif
baru sekali pakai sudah kerasa halus dimuka,Positif,"{'classified_text': 'baru sekali pakai sudah kerasa halus [3] dimuka', 'tweet_text': ' baru sekali pakai sudah kerasa halus dimuka', 'sentence_score': ['baru sekali pakai sudah kerasa halus [3] dimuka'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",baru sekali pakai sudah kerasa halus [3] dimuka, baru sekali pakai sudah kerasa halus dimuka,['baru sekali pakai sudah kerasa halus [3] dimuka'],3,-1,positif
barangnya enggak pernah sampai dari tanggal karena hilang kesalahan anteraja jadi enggak tau harus review apa,Netral,"{'classified_text': 'barangnya enggak pernah sampai dari tanggal karena hilang [-3] kesalahan [-4] anteraja jadi enggak tau harus review apa', 'tweet_text': ' barangnya enggak pernah sampai dari tanggal karena hilang kesalahan anteraja jadi enggak tau harus review apa', 'sentence_score': ['barangnya enggak pernah sampai dari tanggal karena hilang [-3] kesalahan [-4] anteraja jadi enggak tau harus review apa'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",barangnya enggak pernah sampai dari tanggal karena hilang [-3] kesalahan [-4] anteraja jadi enggak tau harus review apa, barangnya enggak pernah sampai dari tanggal karena hilang kesalahan anteraja jadi enggak tau harus review apa,['barangnya enggak pernah sampai dari tanggal karena hilang [-3] kesalahan [-4] anteraja jadi enggak tau harus review apa'],1,-4,negatif
beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,Negatif,"{'classified_text': 'beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama [-3] banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa [-4] banget', 'tweet_text': ' beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget', 'sentence_score': ['beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama [-3] banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa [-4] banget'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama [-3] banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa [-4] banget, beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,['beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama [-3] banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa [-4] banget'],1,-4,negatif
harusnya dapat free sesuai jam ordernya sudah buru cekout biar enggak habis pesanan yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang beginian,Negatif,"{'classified_text': 'harusnya dapat free sesuai [3] jam ordernya sudah buru cekout biar enggak habis pesanan yang datang cuma [-2] produk nya free nya enggak dapat asli [4] kecewa [-3] dan baru ngalamin yang beginian', 'tweet_text': ' harusnya dapat free sesuai jam ordernya sudah buru cekout biar enggak habis pesanan yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang beginian', 'sentence_score': ['harusnya dapat free sesuai [3] jam ordernya sudah buru cekout biar enggak habis pesanan yang datang cuma [-2] produk nya free nya enggak dapat asli [4] kecewa [-3] dan baru ngalamin yang beginian'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",harusnya dapat free sesuai [3] jam ordernya sudah buru cekout biar enggak habis pesanan yang datang cuma [-2] produk nya free nya enggak dapat asli [4] kecewa [-3] dan baru ngalamin yang beginian, harusnya dapat free sesuai jam ordernya sudah buru cekout biar enggak habis pesanan yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang beginian,['harusnya dapat free sesuai [3] jam ordernya sudah buru cekout biar enggak habis pesanan yang datang cuma [-2] produk nya free nya enggak dapat asli [4] kecewa [-3] dan baru ngalamin yang beginian'],4,-3,positif
melembabkan banget teksturnya kental tapi cepat banget nyerepnya,Netral,"{'classified_text': 'melembabkan banget teksturnya kental tapi cepat [5] banget nyerepnya', 'tweet_text': ' melembabkan banget teksturnya kental tapi cepat banget nyerepnya', 'sentence_score': ['melembabkan banget teksturnya kental tapi cepat [5] banget nyerepnya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",melembabkan banget teksturnya kental tapi cepat [5] banget nyerepnya, melembabkan banget teksturnya kental tapi cepat banget nyerepnya,['melembabkan banget teksturnya kental tapi cepat [5] banget nyerepnya'],5,-1,positif
packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik lagi,Negatif,"{'classified_text': 'packaging nya jelek [-5] banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik [5] lagi', 'tweet_text': ' packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik lagi', 'sentence_score': ['packaging nya jelek [-5] banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik [5] lagi'], 'max_positive': 5, 'max_negative': -5, 'kelas': 'netral'}",packaging nya jelek [-5] banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik [5] lagi, packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik lagi,['packaging nya jelek [-5] banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik [5] lagi'],5,-5,netral
tertipu tidak ada gratis hadiah sarung seperti di gambar,Negatif,"{'classified_text': 'tertipu tidak ada gratis hadiah [3] sarung seperti [1] di gambar', 'tweet_text': ' tertipu tidak ada gratis hadiah sarung seperti di gambar', 'sentence_score': ['tertipu tidak ada gratis hadiah [3] sarung seperti [1] di gambar'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",tertipu tidak ada gratis hadiah [3] sarung seperti [1] di gambar, tertipu tidak ada gratis hadiah sarung seperti di gambar,['tertipu tidak ada gratis hadiah [3] sarung seperti [1] di gambar'],3,-1,positif
dijanjikan expired tahu tapi dapetnya bulan,Negatif,"{'classified_text': 'dijanjikan expired tahu tapi dapetnya bulan', 'tweet_text': ' dijanjikan expired tahu tapi dapetnya bulan', 'sentence_score': ['dijanjikan expired tahu tapi dapetnya bulan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",dijanjikan expired tahu tapi dapetnya bulan, dijanjikan expired tahu tapi dapetnya bulan,['dijanjikan expired tahu tapi dapetnya bulan'],1,-1,netral
pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing,Negatif,"{'classified_text': 'pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa [-4] banget bisa lalai [-4] banget team packing nya please kerja yang fokus dan benar [4] biar customer enggak dirugikan [4] begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa [-3] buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing', 'tweet_text': ' pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing', 'sentence_score': ['pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa [-4] banget bisa lalai [-4] banget team packing nya please kerja yang fokus dan benar [4] biar customer enggak dirugikan [4] begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa [-3] buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa [-4] banget bisa lalai [-4] banget team packing nya please kerja yang fokus dan benar [4] biar customer enggak dirugikan [4] begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa [-3] buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing, pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing,['pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa [-4] banget bisa lalai [-4] banget team packing nya please kerja yang fokus dan benar [4] biar customer enggak dirugikan [4] begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa [-3] buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing'],4,-4,netral
bahan ringan semoga cocok,Positif,"{'classified_text': 'bahan ringan semoga cocok [3]', 'tweet_text': ' bahan ringan semoga cocok', 'sentence_score': ['bahan ringan semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bahan ringan semoga cocok [3], bahan ringan semoga cocok,['bahan ringan semoga cocok [3]'],3,-1,positif
tipe kulitku berminyak,Netral,"{'classified_text': 'tipe kulitku berminyak', 'tweet_text': ' tipe kulitku berminyak', 'sentence_score': ['tipe kulitku berminyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulitku berminyak, tipe kulitku berminyak,['tipe kulitku berminyak'],1,-1,netral
