review_tokens_SR,Sentimen,sentimen,classified_text,tweet_text,sentence_score,max_positive,max_negative,kelas
mantap,Positif,"{'classified_text': 'mantap [4]', 'tweet_text': ' mantap', 'sentence_score': ['mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",mantap [4], mantap,['mantap [4]'],4,-1,positif
bismillah semoga cocok,Positif,"{'classified_text': 'bismillah semoga cocok [3]', 'tweet_text': ' bismillah semoga cocok', 'sentence_score': ['bismillah semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bismillah semoga cocok [3], bismillah semoga cocok,['bismillah semoga cocok [3]'],3,-1,positif
kecewa banget pokoknya,Negatif,"{'classified_text': 'kecewa [-4] banget pokoknya', 'tweet_text': ' kecewa banget pokoknya', 'sentence_score': ['kecewa [-4] banget pokoknya'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",kecewa [-4] banget pokoknya, kecewa banget pokoknya,['kecewa [-4] banget pokoknya'],1,-4,negatif
kecewa pengiriman lama wajah jadi breakout enggak tau bagaimana enggak mengerti,Negatif,"{'classified_text': 'kecewa [-3] pengiriman lama [-2] wajah jadi breakout enggak tau bagaimana enggak mengerti', 'tweet_text': ' kecewa pengiriman lama wajah jadi breakout enggak tau bagaimana enggak mengerti', 'sentence_score': ['kecewa [-3] pengiriman lama [-2] wajah jadi breakout enggak tau bagaimana enggak mengerti'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}",kecewa [-3] pengiriman lama [-2] wajah jadi breakout enggak tau bagaimana enggak mengerti, kecewa pengiriman lama wajah jadi breakout enggak tau bagaimana enggak mengerti,['kecewa [-3] pengiriman lama [-2] wajah jadi breakout enggak tau bagaimana enggak mengerti'],1,-3,negatif
semoga cocok,Positif,"{'classified_text': 'semoga cocok [3]', 'tweet_text': ' semoga cocok', 'sentence_score': ['semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",semoga cocok [3], semoga cocok,['semoga cocok [3]'],3,-1,positif
dicoba,Netral,"{'classified_text': 'dicoba', 'tweet_text': ' dicoba', 'sentence_score': ['dicoba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",dicoba, dicoba,['dicoba'],1,-1,netral
langganan cocok pakai serum thanks seller,Positif,"{'classified_text': 'langganan cocok [3] pakai serum thanks seller', 'tweet_text': ' langganan cocok pakai serum thanks seller', 'sentence_score': ['langganan cocok [3] pakai serum thanks seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",langganan cocok [3] pakai serum thanks seller, langganan cocok pakai serum thanks seller,['langganan cocok [3] pakai serum thanks seller'],3,-1,positif
serumnya benar benar cair banget pemakaian selama hari berasa banget efeknya,Netral,"{'classified_text': 'serumnya benar [4] benar [5] cair banget pemakaian selama hari berasa banget efeknya', 'tweet_text': ' serumnya benar benar cair banget pemakaian selama hari berasa banget efeknya', 'sentence_score': ['serumnya benar [4] benar [5] cair banget pemakaian selama hari berasa banget efeknya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",serumnya benar [4] benar [5] cair banget pemakaian selama hari berasa banget efeknya, serumnya benar benar cair banget pemakaian selama hari berasa banget efeknya,['serumnya benar [4] benar [5] cair banget pemakaian selama hari berasa banget efeknya'],5,-1,positif
mantap pakai banget perjalanan pengiriman lama banget,Netral,"{'classified_text': 'mantap [4] pakai banget perjalanan pengiriman lama [-3] banget', 'tweet_text': ' mantap pakai banget perjalanan pengiriman lama banget', 'sentence_score': ['mantap [4] pakai banget perjalanan pengiriman lama [-3] banget'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}",mantap [4] pakai banget perjalanan pengiriman lama [-3] banget, mantap pakai banget perjalanan pengiriman lama banget,['mantap [4] pakai banget perjalanan pengiriman lama [-3] banget'],4,-3,positif
dicoba ngabisin dulu next bakal review kalo hasilnya,Netral,"{'classified_text': 'dicoba ngabisin dulu next bakal review kalo hasilnya', 'tweet_text': ' dicoba ngabisin dulu next bakal review kalo hasilnya', 'sentence_score': ['dicoba ngabisin dulu next bakal review kalo hasilnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",dicoba ngabisin dulu next bakal review kalo hasilnya, dicoba ngabisin dulu next bakal review kalo hasilnya,['dicoba ngabisin dulu next bakal review kalo hasilnya'],1,-1,netral
cocok banget buat oily skin kayak aku,Positif,"{'classified_text': 'cocok [4] banget buat oily skin kayak aku', 'tweet_text': ' cocok banget buat oily skin kayak aku', 'sentence_score': ['cocok [4] banget buat oily skin kayak aku'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",cocok [4] banget buat oily skin kayak aku, cocok banget buat oily skin kayak aku,['cocok [4] banget buat oily skin kayak aku'],4,-1,positif
baru sekali pakai kerasa halus dimuka,Positif,"{'classified_text': 'baru sekali pakai kerasa halus [3] dimuka', 'tweet_text': ' baru sekali pakai kerasa halus dimuka', 'sentence_score': ['baru sekali pakai kerasa halus [3] dimuka'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",baru sekali pakai kerasa halus [3] dimuka, baru sekali pakai kerasa halus dimuka,['baru sekali pakai kerasa halus [3] dimuka'],3,-1,positif
barangnya enggak pernah tanggal hilang kesalahan anteraja jadi enggak tau review apa,Netral,"{'classified_text': 'barangnya enggak pernah tanggal hilang [-3] kesalahan [-4] anteraja jadi enggak tau review apa', 'tweet_text': ' barangnya enggak pernah tanggal hilang kesalahan anteraja jadi enggak tau review apa', 'sentence_score': ['barangnya enggak pernah tanggal hilang [-3] kesalahan [-4] anteraja jadi enggak tau review apa'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",barangnya enggak pernah tanggal hilang [-3] kesalahan [-4] anteraja jadi enggak tau review apa, barangnya enggak pernah tanggal hilang kesalahan anteraja jadi enggak tau review apa,['barangnya enggak pernah tanggal hilang [-3] kesalahan [-4] anteraja jadi enggak tau review apa'],1,-4,negatif
beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama banget ujung ujung nya ditindak lanjuti kecewa banget,Negatif,"{'classified_text': 'beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama [-3] banget ujung ujung nya ditindak lanjuti kecewa [-4] banget', 'tweet_text': ' beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama banget ujung ujung nya ditindak lanjuti kecewa banget', 'sentence_score': ['beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama [-3] banget ujung ujung nya ditindak lanjuti kecewa [-4] banget'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}",beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama [-3] banget ujung ujung nya ditindak lanjuti kecewa [-4] banget, beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama banget ujung ujung nya ditindak lanjuti kecewa banget,['beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama [-3] banget ujung ujung nya ditindak lanjuti kecewa [-4] banget'],1,-4,negatif
harusnya free sesuai jam ordernya buru cekout biar enggak habis pesanan datang cuma produk nya free nya enggak asli kecewa baru ngalamin beginian,Negatif,"{'classified_text': 'harusnya free sesuai [3] jam ordernya buru cekout biar enggak habis pesanan datang cuma [-2] produk nya free nya enggak asli [-4] kecewa [-4] baru ngalamin beginian', 'tweet_text': ' harusnya free sesuai jam ordernya buru cekout biar enggak habis pesanan datang cuma produk nya free nya enggak asli kecewa baru ngalamin beginian', 'sentence_score': ['harusnya free sesuai [3] jam ordernya buru cekout biar enggak habis pesanan datang cuma [-2] produk nya free nya enggak asli [-4] kecewa [-4] baru ngalamin beginian'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}",harusnya free sesuai [3] jam ordernya buru cekout biar enggak habis pesanan datang cuma [-2] produk nya free nya enggak asli [-4] kecewa [-4] baru ngalamin beginian, harusnya free sesuai jam ordernya buru cekout biar enggak habis pesanan datang cuma produk nya free nya enggak asli kecewa baru ngalamin beginian,['harusnya free sesuai [3] jam ordernya buru cekout biar enggak habis pesanan datang cuma [-2] produk nya free nya enggak asli [-4] kecewa [-4] baru ngalamin beginian'],3,-4,negatif
melembabkan banget teksturnya kental cepat banget nyerepnya,Netral,"{'classified_text': 'melembabkan banget teksturnya kental cepat [5] banget nyerepnya', 'tweet_text': ' melembabkan banget teksturnya kental cepat banget nyerepnya', 'sentence_score': ['melembabkan banget teksturnya kental cepat [5] banget nyerepnya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}",melembabkan banget teksturnya kental cepat [5] banget nyerepnya, melembabkan banget teksturnya kental cepat banget nyerepnya,['melembabkan banget teksturnya kental cepat [5] banget nyerepnya'],5,-1,positif
packaging nya jelek banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik,Negatif,"{'classified_text': 'packaging nya jelek [-5] banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik [5]', 'tweet_text': ' packaging nya jelek banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik', 'sentence_score': ['packaging nya jelek [-5] banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik [5]'], 'max_positive': 5, 'max_negative': -5, 'kelas': 'netral'}",packaging nya jelek [-5] banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik [5], packaging nya jelek banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik,['packaging nya jelek [-5] banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik [5]'],5,-5,netral
tertipu gratis hadiah sarung gambar,Negatif,"{'classified_text': 'tertipu gratis hadiah [3] sarung gambar', 'tweet_text': ' tertipu gratis hadiah sarung gambar', 'sentence_score': ['tertipu gratis hadiah [3] sarung gambar'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",tertipu gratis hadiah [3] sarung gambar, tertipu gratis hadiah sarung gambar,['tertipu gratis hadiah [3] sarung gambar'],3,-1,positif
dijanjikan expired tahu dapetnya bulan,Negatif,"{'classified_text': 'dijanjikan expired tahu dapetnya bulan', 'tweet_text': ' dijanjikan expired tahu dapetnya bulan', 'sentence_score': ['dijanjikan expired tahu dapetnya bulan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",dijanjikan expired tahu dapetnya bulan, dijanjikan expired tahu dapetnya bulan,['dijanjikan expired tahu dapetnya bulan'],1,-1,netral
pesan masker dikirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing,Negatif,"{'classified_text': 'pesan masker dikirim my bad enggak video unboxing nya kecewa [-4] banget lalai [-5] banget team packing nya please kerja fokus benar [4] biar customer enggak dirugikan [4] begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa [-3] buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing', 'tweet_text': ' pesan masker dikirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing', 'sentence_score': ['pesan masker dikirim my bad enggak video unboxing nya kecewa [-4] banget lalai [-5] banget team packing nya please kerja fokus benar [4] biar customer enggak dirugikan [4] begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa [-3] buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}",pesan masker dikirim my bad enggak video unboxing nya kecewa [-4] banget lalai [-5] banget team packing nya please kerja fokus benar [4] biar customer enggak dirugikan [4] begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa [-3] buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing, pesan masker dikirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing,['pesan masker dikirim my bad enggak video unboxing nya kecewa [-4] banget lalai [-5] banget team packing nya please kerja fokus benar [4] biar customer enggak dirugikan [4] begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa [-3] buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing'],4,-5,negatif
bahan ringan semoga cocok,Positif,"{'classified_text': 'bahan ringan semoga cocok [3]', 'tweet_text': ' bahan ringan semoga cocok', 'sentence_score': ['bahan ringan semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}",bahan ringan semoga cocok [3], bahan ringan semoga cocok,['bahan ringan semoga cocok [3]'],3,-1,positif
tipe kulitku berminyak,Netral,"{'classified_text': 'tipe kulitku berminyak', 'tweet_text': ' tipe kulitku berminyak', 'sentence_score': ['tipe kulitku berminyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",tipe kulitku berminyak, tipe kulitku berminyak,['tipe kulitku berminyak'],1,-1,netral
ringan banget dibibir lup lup dah buat azarine,Netral,"{'classified_text': 'ringan banget dibibir lup lup dah buat azarine', 'tweet_text': ' ringan banget dibibir lup lup dah buat azarine', 'sentence_score': ['ringan banget dibibir lup lup dah buat azarine'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",ringan banget dibibir lup lup dah buat azarine, ringan banget dibibir lup lup dah buat azarine,['ringan banget dibibir lup lup dah buat azarine'],1,-1,netral
no review found,Netral,"{'classified_text': 'no review found', 'tweet_text': ' no review found', 'sentence_score': ['no review found'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",no review found, no review found,['no review found'],1,-1,netral
kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya,Negatif,"{'classified_text': 'kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas [4] didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya', 'tweet_text': ' kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya', 'sentence_score': ['kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas [4] didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}",kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas [4] didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya, kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya,['kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas [4] didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya'],4,-1,positif
barang nya,Negatif,"{'classified_text': 'barang nya', 'tweet_text': ' barang nya', 'sentence_score': ['barang nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",barang nya, barang nya,['barang nya'],1,-1,netral
bikin bruntusan geleuh muka jadi kelihatan kerasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhirnya buat tangan area tubuh gelap deh,Negatif,"{'classified_text': 'bikin bruntusan geleuh muka jadi kelihatan kerasa kotor [-4] banget ewh pakai sunscreen toner soft light no deh benar [4] kata orang buat kulit sensitif [-2] kering jangan pakai akhirnya buat tangan area tubuh gelap [-2] deh', 'tweet_text': ' bikin bruntusan geleuh muka jadi kelihatan kerasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhirnya buat tangan area tubuh gelap deh', 'sentence_score': ['bikin bruntusan geleuh muka jadi kelihatan kerasa kotor [-4] banget ewh pakai sunscreen toner soft light no deh benar [4] kata orang buat kulit sensitif [-2] kering jangan pakai akhirnya buat tangan area tubuh gelap [-2] deh'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}",bikin bruntusan geleuh muka jadi kelihatan kerasa kotor [-4] banget ewh pakai sunscreen toner soft light no deh benar [4] kata orang buat kulit sensitif [-2] kering jangan pakai akhirnya buat tangan area tubuh gelap [-2] deh, bikin bruntusan geleuh muka jadi kelihatan kerasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhirnya buat tangan area tubuh gelap deh,['bikin bruntusan geleuh muka jadi kelihatan kerasa kotor [-4] banget ewh pakai sunscreen toner soft light no deh benar [4] kata orang buat kulit sensitif [-2] kering jangan pakai akhirnya buat tangan area tubuh gelap [-2] deh'],4,-4,netral
serumnya enggak dikirim,Negatif,"{'classified_text': 'serumnya enggak dikirim', 'tweet_text': ' serumnya enggak dikirim', 'sentence_score': ['serumnya enggak dikirim'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}",serumnya enggak dikirim, serumnya enggak dikirim,['serumnya enggak dikirim'],1,-1,netral
