review_tokens_SR,Sentimen,sentimen
mantap,Positif,"{'classified_text': 'mantap [4]', 'tweet_text': ' mantap', 'sentence_score': ['mantap [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
bismillah semoga cocok,Positif,"{'classified_text': 'bismillah semoga cocok [3]', 'tweet_text': ' bismillah semoga cocok', 'sentence_score': ['bismillah semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
kecewa banget pokoknya,Negatif,"{'classified_text': 'kecewa [-4] banget pokoknya', 'tweet_text': ' kecewa banget pokoknya', 'sentence_score': ['kecewa [-4] banget pokoknya'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
kecewa pengiriman lama wajah jadi breakout enggak tau bagaimana enggak mengerti,Negatif,"{'classified_text': 'kecewa [-3] pengiriman lama [-2] wajah jadi breakout enggak tau bagaimana enggak mengerti', 'tweet_text': ' kecewa pengiriman lama wajah jadi breakout enggak tau bagaimana enggak mengerti', 'sentence_score': ['kecewa [-3] pengiriman lama [-2] wajah jadi breakout enggak tau bagaimana enggak mengerti'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
semoga cocok,Positif,"{'classified_text': 'semoga cocok [3]', 'tweet_text': ' semoga cocok', 'sentence_score': ['semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
dicoba,Netral,"{'classified_text': 'dicoba', 'tweet_text': ' dicoba', 'sentence_score': ['dicoba'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
langganan cocok pakai serum thanks seller,Positif,"{'classified_text': 'langganan cocok [3] pakai serum thanks seller', 'tweet_text': ' langganan cocok pakai serum thanks seller', 'sentence_score': ['langganan cocok [3] pakai serum thanks seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
serumnya benar benar cair banget pemakaian selama hari berasa banget efeknya,Netral,"{'classified_text': 'serumnya benar [4] benar [5] cair banget pemakaian selama hari berasa banget efeknya', 'tweet_text': ' serumnya benar benar cair banget pemakaian selama hari berasa banget efeknya', 'sentence_score': ['serumnya benar [4] benar [5] cair banget pemakaian selama hari berasa banget efeknya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
mantap pakai banget perjalanan pengiriman lama banget,Netral,"{'classified_text': 'mantap [4] pakai banget perjalanan pengiriman lama [-3] banget', 'tweet_text': ' mantap pakai banget perjalanan pengiriman lama banget', 'sentence_score': ['mantap [4] pakai banget perjalanan pengiriman lama [-3] banget'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
dicoba ngabisin dulu next bakal review kalo hasilnya,Netral,"{'classified_text': 'dicoba ngabisin dulu next bakal review kalo hasilnya', 'tweet_text': ' dicoba ngabisin dulu next bakal review kalo hasilnya', 'sentence_score': ['dicoba ngabisin dulu next bakal review kalo hasilnya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
cocok banget buat oily skin kayak aku,Positif,"{'classified_text': 'cocok [4] banget buat oily skin kayak aku', 'tweet_text': ' cocok banget buat oily skin kayak aku', 'sentence_score': ['cocok [4] banget buat oily skin kayak aku'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
baru sekali pakai kerasa halus dimuka,Positif,"{'classified_text': 'baru sekali pakai kerasa halus [3] dimuka', 'tweet_text': ' baru sekali pakai kerasa halus dimuka', 'sentence_score': ['baru sekali pakai kerasa halus [3] dimuka'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
barangnya enggak pernah tanggal hilang kesalahan anteraja jadi enggak tau review apa,Netral,"{'classified_text': 'barangnya enggak pernah tanggal hilang [-3] kesalahan [-4] anteraja jadi enggak tau review apa', 'tweet_text': ' barangnya enggak pernah tanggal hilang kesalahan anteraja jadi enggak tau review apa', 'sentence_score': ['barangnya enggak pernah tanggal hilang [-3] kesalahan [-4] anteraja jadi enggak tau review apa'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama banget ujung ujung nya ditindak lanjuti kecewa banget,Negatif,"{'classified_text': 'beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama [-3] banget ujung ujung nya ditindak lanjuti kecewa [-4] banget', 'tweet_text': ' beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama banget ujung ujung nya ditindak lanjuti kecewa banget', 'sentence_score': ['beli beserta skin care nya tapitidak pernah menerima sheet mask complaint lama [-3] banget ujung ujung nya ditindak lanjuti kecewa [-4] banget'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
harusnya free sesuai jam ordernya buru cekout biar enggak habis pesanan datang cuma produk nya free nya enggak asli kecewa baru ngalamin beginian,Negatif,"{'classified_text': 'harusnya free sesuai [3] jam ordernya buru cekout biar enggak habis pesanan datang cuma [-2] produk nya free nya enggak asli [-4] kecewa [-4] baru ngalamin beginian', 'tweet_text': ' harusnya free sesuai jam ordernya buru cekout biar enggak habis pesanan datang cuma produk nya free nya enggak asli kecewa baru ngalamin beginian', 'sentence_score': ['harusnya free sesuai [3] jam ordernya buru cekout biar enggak habis pesanan datang cuma [-2] produk nya free nya enggak asli [-4] kecewa [-4] baru ngalamin beginian'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
melembabkan banget teksturnya kental cepat banget nyerepnya,Netral,"{'classified_text': 'melembabkan banget teksturnya kental cepat [5] banget nyerepnya', 'tweet_text': ' melembabkan banget teksturnya kental cepat banget nyerepnya', 'sentence_score': ['melembabkan banget teksturnya kental cepat [5] banget nyerepnya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
packaging nya jelek banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik,Negatif,"{'classified_text': 'packaging nya jelek [-5] banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik [5]', 'tweet_text': ' packaging nya jelek banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik', 'sentence_score': ['packaging nya jelek [-5] banget sih kayak nya oknum mau ngambil barangnya kardusnya buka bagian samping enggak segel next nya packing lebih baik [5]'], 'max_positive': 5, 'max_negative': -5, 'kelas': 'netral'}"
tertipu gratis hadiah sarung gambar,Negatif,"{'classified_text': 'tertipu gratis hadiah [3] sarung gambar', 'tweet_text': ' tertipu gratis hadiah sarung gambar', 'sentence_score': ['tertipu gratis hadiah [3] sarung gambar'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
dijanjikan expired tahu dapetnya bulan,Negatif,"{'classified_text': 'dijanjikan expired tahu dapetnya bulan', 'tweet_text': ' dijanjikan expired tahu dapetnya bulan', 'sentence_score': ['dijanjikan expired tahu dapetnya bulan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pesan masker dikirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing,Negatif,"{'classified_text': 'pesan masker dikirim my bad enggak video unboxing nya kecewa [-4] banget lalai [-5] banget team packing nya please kerja fokus benar [4] biar customer enggak dirugikan [4] begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa [-3] buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing', 'tweet_text': ' pesan masker dikirim my bad enggak video unboxing nya kecewa banget lalai banget team packing nya please kerja fokus benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing', 'sentence_score': ['pesan masker dikirim my bad enggak video unboxing nya kecewa [-4] banget lalai [-5] banget team packing nya please kerja fokus benar [4] biar customer enggak dirugikan [4] begini enggak semua orang sempat bikin video unboxing so sorry kasih bintang benaran kecewa [-3] buat customer kalo baca please be more careful kalo pesan disini sesibuk apapun sempetin video unboxing'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}"
bahan ringan semoga cocok,Positif,"{'classified_text': 'bahan ringan semoga cocok [3]', 'tweet_text': ' bahan ringan semoga cocok', 'sentence_score': ['bahan ringan semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak,Netral,"{'classified_text': 'tipe kulitku berminyak', 'tweet_text': ' tipe kulitku berminyak', 'sentence_score': ['tipe kulitku berminyak'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
ringan banget dibibir lup lup dah buat azarine,Netral,"{'classified_text': 'ringan banget dibibir lup lup dah buat azarine', 'tweet_text': ' ringan banget dibibir lup lup dah buat azarine', 'sentence_score': ['ringan banget dibibir lup lup dah buat azarine'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
no review found,Netral,"{'classified_text': 'no review found', 'tweet_text': ' no review found', 'sentence_score': ['no review found'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya,Negatif,"{'classified_text': 'kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas [4] didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya', 'tweet_text': ' kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya', 'sentence_score': ['kali paket white series datang cuman harusnya komplain enggak direspon sama sekali pantas [4] didalam paket kertas cara mengajukan komplain ternyata memang enggak beres isinya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
barang nya,Negatif,"{'classified_text': 'barang nya', 'tweet_text': ' barang nya', 'sentence_score': ['barang nya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
bikin bruntusan geleuh muka jadi kelihatan kerasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhirnya buat tangan area tubuh gelap deh,Negatif,"{'classified_text': 'bikin bruntusan geleuh muka jadi kelihatan kerasa kotor [-4] banget ewh pakai sunscreen toner soft light no deh benar [4] kata orang buat kulit sensitif [-2] kering jangan pakai akhirnya buat tangan area tubuh gelap [-2] deh', 'tweet_text': ' bikin bruntusan geleuh muka jadi kelihatan kerasa kotor banget ewh pakai sunscreen toner soft light no deh benar kata orang buat kulit sensitif kering jangan pakai akhirnya buat tangan area tubuh gelap deh', 'sentence_score': ['bikin bruntusan geleuh muka jadi kelihatan kerasa kotor [-4] banget ewh pakai sunscreen toner soft light no deh benar [4] kata orang buat kulit sensitif [-2] kering jangan pakai akhirnya buat tangan area tubuh gelap [-2] deh'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
serumnya enggak dikirim,Negatif,"{'classified_text': 'serumnya enggak dikirim', 'tweet_text': ' serumnya enggak dikirim', 'sentence_score': ['serumnya enggak dikirim'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
baru pertama coba dipakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,Positif,"{'classified_text': 'baru pertama coba dipakai beberapa hari sunscreennya bagus [5] banget cocok [4] buat acne face ku enggak lengket sama sekali', 'tweet_text': ' baru pertama coba dipakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali', 'sentence_score': ['baru pertama coba dipakai beberapa hari sunscreennya bagus [5] banget cocok [4] buat acne face ku enggak lengket sama sekali'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
love banget terima kasih azarine tadinya beli pc ternyata memang bagus banget velvety lippie cream nya enggak cocok warm tone bagus banget aku,Positif,"{'classified_text': 'love banget terima kasih [4] azarine tadinya beli pc ternyata memang bagus [5] banget velvety lippie cream nya enggak cocok [-3] warm tone bagus [5] banget aku', 'tweet_text': ' love banget terima kasih azarine tadinya beli pc ternyata memang bagus banget velvety lippie cream nya enggak cocok warm tone bagus banget aku', 'sentence_score': ['love banget terima kasih [4] azarine tadinya beli pc ternyata memang bagus [5] banget velvety lippie cream nya enggak cocok [-3] warm tone bagus [5] banget aku'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}"
pertama kali coba tau sih,Netral,"{'classified_text': 'pertama kali coba tau sih', 'tweet_text': ' pertama kali coba tau sih', 'sentence_score': ['pertama kali coba tau sih'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
realpict sukses selalu seller,Positif,"{'classified_text': 'realpict sukses [4] selalu seller', 'tweet_text': ' realpict sukses selalu seller', 'sentence_score': ['realpict sukses [4] selalu seller'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
semua cuma kaya nya kulitku enggak cocok sama sunscreennya merasa lengket banget makenya so sorry,Netral,"{'classified_text': 'semua cuma [-2] kaya [3] nya kulitku enggak cocok [-3] sama sunscreennya merasa lengket banget makenya so sorry', 'tweet_text': ' semua cuma kaya nya kulitku enggak cocok sama sunscreennya merasa lengket banget makenya so sorry', 'sentence_score': ['semua cuma [-2] kaya [3] nya kulitku enggak cocok [-3] sama sunscreennya merasa lengket banget makenya so sorry'], 'max_positive': 3, 'max_negative': -3, 'kelas': 'netral'}"
baru pertama coba semoga cocok pengemasan cepat aman pengiriman cepat,Positif,"{'classified_text': 'baru pertama coba semoga cocok [3] pengemasan cepat [4] aman [5] pengiriman cepat [4]', 'tweet_text': ' baru pertama coba semoga cocok pengemasan cepat aman pengiriman cepat', 'sentence_score': ['baru pertama coba semoga cocok [3] pengemasan cepat [4] aman [5] pengiriman cepat [4]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
pesan paket twin pack harusanya terima produk terima sempat melakukan video unboxing jadi tadi klaim mohon setelahnya lebih berhati memperhatikan produk dikirim apa sesuai pesanan,Negatif,"{'classified_text': 'pesan paket twin pack harusanya terima produk terima sempat melakukan video unboxing jadi tadi klaim mohon [1] setelahnya lebih berhati memperhatikan produk dikirim apa sesuai [3] pesanan', 'tweet_text': ' pesan paket twin pack harusanya terima produk terima sempat melakukan video unboxing jadi tadi klaim mohon setelahnya lebih berhati memperhatikan produk dikirim apa sesuai pesanan', 'sentence_score': ['pesan paket twin pack harusanya terima produk terima sempat melakukan video unboxing jadi tadi klaim mohon [1] setelahnya lebih berhati memperhatikan produk dikirim apa sesuai [3] pesanan'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
pelayanan admin nya jelek,Negatif,"{'classified_text': 'pelayanan admin nya jelek [-4]', 'tweet_text': ' pelayanan admin nya jelek', 'sentence_score': ['pelayanan admin nya jelek [-4]'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
kesel aku menunggu barangnya datang salah dong produknya mana bungkusnya sesuai sama produk aku pesan alhasil aku buka video banget kalau semisal packing cek dulu jangan salah kirim kayak begini rugi harga aku jadi kehilangan kepercayaan sama toko mana lama mana fotonya enggak dilampirkan tulisan gangguan rumah toped enggak tau deh serah cek data gudang data pembelian produk gudang jumlahnya beda,Negatif,"{'classified_text': 'kesel aku menunggu [-2] barangnya datang salah [-4] dong produknya mana [-4] bungkusnya sesuai [3] sama produk aku pesan alhasil aku buka video banget kalau semisal packing cek dulu jangan salah [4] kirim kayak begini rugi [-4] harga aku jadi kehilangan [-3] kepercayaan [4] sama toko mana [-4] lama [-2] mana [-5] fotonya enggak dilampirkan tulisan gangguan [-4] rumah toped enggak tau deh serah cek data gudang data pembelian produk gudang jumlahnya beda', 'tweet_text': ' kesel aku menunggu barangnya datang salah dong produknya mana bungkusnya sesuai sama produk aku pesan alhasil aku buka video banget kalau semisal packing cek dulu jangan salah kirim kayak begini rugi harga aku jadi kehilangan kepercayaan sama toko mana lama mana fotonya enggak dilampirkan tulisan gangguan rumah toped enggak tau deh serah cek data gudang data pembelian produk gudang jumlahnya beda', 'sentence_score': ['kesel aku menunggu [-2] barangnya datang salah [-4] dong produknya mana [-4] bungkusnya sesuai [3] sama produk aku pesan alhasil aku buka video banget kalau semisal packing cek dulu jangan salah [4] kirim kayak begini rugi [-4] harga aku jadi kehilangan [-3] kepercayaan [4] sama toko mana [-4] lama [-2] mana [-5] fotonya enggak dilampirkan tulisan gangguan [-4] rumah toped enggak tau deh serah cek data gudang data pembelian produk gudang jumlahnya beda'], 'max_positive': 4, 'max_negative': -5, 'kelas': 'negatif'}"
barang dikirim cuman harusnya beli twin pack,Negatif,"{'classified_text': 'barang dikirim cuman harusnya beli twin pack', 'tweet_text': ' barang dikirim cuman harusnya beli twin pack', 'sentence_score': ['barang dikirim cuman harusnya beli twin pack'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pakai harian wajah jadi berminyak merah jadi beruntusan,Negatif,"{'classified_text': 'pakai harian wajah jadi berminyak merah jadi beruntusan', 'tweet_text': ' pakai harian wajah jadi berminyak merah jadi beruntusan', 'sentence_score': ['pakai harian wajah jadi berminyak merah jadi beruntusan'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
sesuai deskripsi,Positif,"{'classified_text': 'sesuai [3] deskripsi', 'tweet_text': ' sesuai deskripsi', 'sentence_score': ['sesuai [3] deskripsi'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,Netral,"{'classified_text': 'tipe kulitku berminyak masalah [-4] kulitku jerawat masalah [-4] kulitku pori besar [3]', 'tweet_text': ' tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar', 'sentence_score': ['tipe kulitku berminyak masalah [-4] kulitku jerawat masalah [-4] kulitku pori besar [3]'], 'max_positive': 3, 'max_negative': -4, 'kelas': 'negatif'}"
kecewa sama pengemasannya kardusnya peyok dalemnya enggak bubble wrap biasanya bubble wrap nya untung paketnya aman,Negatif,"{'classified_text': 'kecewa [-3] sama pengemasannya kardusnya peyok dalemnya enggak bubble wrap biasanya bubble wrap nya untung paketnya aman [4]', 'tweet_text': ' kecewa sama pengemasannya kardusnya peyok dalemnya enggak bubble wrap biasanya bubble wrap nya untung paketnya aman', 'sentence_score': ['kecewa [-3] sama pengemasannya kardusnya peyok dalemnya enggak bubble wrap biasanya bubble wrap nya untung paketnya aman [4]'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
tipe kulitku kering,Netral,"{'classified_text': 'tipe kulitku kering', 'tweet_text': ' tipe kulitku kering', 'sentence_score': ['tipe kulitku kering'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pertama kalinya menerima barang pesanan lengkap sayangnya melakukan video unboxing,Negatif,"{'classified_text': 'pertama kalinya menerima barang pesanan lengkap sayangnya [-2] melakukan video unboxing', 'tweet_text': ' pertama kalinya menerima barang pesanan lengkap sayangnya melakukan video unboxing', 'sentence_score': ['pertama kalinya menerima barang pesanan lengkap sayangnya [-2] melakukan video unboxing'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
beli tanggal mei chat admin katanya tanggal dikirim mau batal otomatis baru dikirim rumah tanggal malam padahal mau dibawa luar kota tanggal mei melihat status enggak dikirim akhirnya beli sama reseller jakarta kecewa baru pertama kali pesan official store pelayanan buruk pengiriman lama barang dikirim sesuai box bubble wrap kalo butuh cepat pertimbangkan beli official store,Negatif,"{'classified_text': 'beli tanggal mei chat admin katanya tanggal dikirim mau batal otomatis baru dikirim rumah tanggal malam padahal mau dibawa luar kota tanggal mei melihat status enggak dikirim akhirnya beli sama reseller jakarta kecewa [-3] baru pertama kali pesan official store pelayanan buruk [-4] pengiriman lama [-2] barang dikirim sesuai [3] box bubble wrap kalo butuh cepat [4] pertimbangkan beli official store', 'tweet_text': ' beli tanggal mei chat admin katanya tanggal dikirim mau batal otomatis baru dikirim rumah tanggal malam padahal mau dibawa luar kota tanggal mei melihat status enggak dikirim akhirnya beli sama reseller jakarta kecewa baru pertama kali pesan official store pelayanan buruk pengiriman lama barang dikirim sesuai box bubble wrap kalo butuh cepat pertimbangkan beli official store', 'sentence_score': ['beli tanggal mei chat admin katanya tanggal dikirim mau batal otomatis baru dikirim rumah tanggal malam padahal mau dibawa luar kota tanggal mei melihat status enggak dikirim akhirnya beli sama reseller jakarta kecewa [-3] baru pertama kali pesan official store pelayanan buruk [-4] pengiriman lama [-2] barang dikirim sesuai [3] box bubble wrap kalo butuh cepat [4] pertimbangkan beli official store'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
sudahlah prosesnya lama banget dikirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang,Negatif,"{'classified_text': 'sudahlah prosesnya lama [-3] banget dikirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang', 'tweet_text': ' sudahlah prosesnya lama banget dikirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang', 'sentence_score': ['sudahlah prosesnya lama [-3] banget dikirim enggak lengkap bilang dong kalo brgnya kosong enggak kasih review enggak terima barang'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
