,Review,Sentimen,Review_norm,review_tokens,review_tokens_SR
10,mantap,Positif,mantap,['mantap'],['mantap']
11,bismillah smga cocok,Positif,bismillah semoga cocok,"['bismillah', 'semoga', 'cocok']","['bismillah', 'semoga', 'cocok']"
12,kecewa banget pokoknya,Negatif,kecewa banget pokoknya,"['kecewa', 'banget', 'pokoknya']","['kecewa', 'banget', 'pokoknya']"
13,kecewaaaaa pengiriman lama wajah jadi breakout gatau harus gimana lagi ga ngerti,Negatif,kecewa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti,"['kecewa', 'pengiriman', 'lama', 'wajah', 'jadi', 'breakout', 'enggak', 'tau', 'harus', 'bagaimana', 'lagi', 'enggak', 'mengerti']","['kecewa', 'pengiriman', 'lama', 'wajah', 'jadi', 'breakout', 'enggak', 'tau', 'bagaimana', 'enggak', 'mengerti']"
14,ok smoga cocok,Positif,ok semoga cocok,"['ok', 'semoga', 'cocok']","['semoga', 'cocok']"
15,ok blom dcobain,Netral,ok belum dicoba,"['ok', 'belum', 'dicoba']","['belum', 'dicoba']"
16,udah langganan karna cocok pakai serum ini thanks seller,Positif,sudah langganan karena cocok pakai serum ini thanks seller,"['sudah', 'langganan', 'karena', 'cocok', 'pakai', 'serum', 'ini', 'thanks', 'seller']","['langganan', 'cocok', 'pakai', 'serum', 'thanks', 'seller']"
17,serumnya bener bener cair banget ini pemakaian selama hari tapi belum berasa bangt efeknya,Netral,serumnya benar benar cair banget ini pemakaian selama hari tapi belum berasa banget efeknya,"['serumnya', 'benar', 'benar', 'cair', 'banget', 'ini', 'pemakaian', 'selama', 'hari', 'tapi', 'belum', 'berasa', 'banget', 'efeknya']","['serumnya', 'benar', 'benar', 'cair', 'banget', 'pemakaian', 'selama', 'hari', 'belum', 'berasa', 'banget', 'efeknya']"
18,mantab pake banget tp perjalanan pengiriman lam bgt,Netral,mantap pakai banget tapi perjalanan pengiriman lama banget,"['mantap', 'pakai', 'banget', 'tapi', 'perjalanan', 'pengiriman', 'lama', 'banget']","['mantap', 'pakai', 'banget', 'perjalanan', 'pengiriman', 'lama', 'banget']"
19,belum dicoba ngabisin dlu yg laen next bakal review klo ada hasilnya,Netral,belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya,"['belum', 'dicoba', 'ngabisin', 'dulu', 'yang', 'lain', 'next', 'bakal', 'review', 'kalo', 'ada', 'hasilnya']","['belum', 'dicoba', 'ngabisin', 'dulu', 'next', 'bakal', 'review', 'kalo', 'hasilnya']"
20,cocok bngt buat oily skin kyk aku,Positif,cocok banget buat oily skin kayak aku,"['cocok', 'banget', 'buat', 'oily', 'skin', 'kayak', 'aku']","['cocok', 'banget', 'buat', 'oily', 'skin', 'kayak', 'aku']"
21,baru sekali pake udh kerasa halus dimuka,Positif,baru sekali pakai sudah kerasa halus dimuka,"['baru', 'sekali', 'pakai', 'sudah', 'kerasa', 'halus', 'dimuka']","['baru', 'sekali', 'pakai', 'kerasa', 'halus', 'dimuka']"
22,barangnya gapernah sampe dari tanggal karna ilang kesalahan anteraja jadi gatau harus review apa,Netral,barangnya enggak pernah sampai dari tanggal karena hilang kesalahan anteraja jadi enggak tau harus review apa,"['barangnya', 'enggak', 'pernah', 'sampai', 'dari', 'tanggal', 'karena', 'hilang', 'kesalahan', 'anteraja', 'jadi', 'enggak', 'tau', 'harus', 'review', 'apa']","['barangnya', 'enggak', 'pernah', 'tanggal', 'hilang', 'kesalahan', 'anteraja', 'jadi', 'enggak', 'tau', 'review', 'apa']"
23,beli ini beserta skin care yg lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,Negatif,beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,"['beli', 'ini', 'beserta', 'skin', 'care', 'yang', 'lain', 'nya', 'tapitidak', 'pernah', 'menerima', 'sheet', 'mask', 'ini', 'complaint', 'lama', 'banget', 'dan', 'ujung', 'ujung', 'nya', 'tidak', 'bisa', 'ditindak', 'lanjuti', 'kecewa', 'banget']","['beli', 'beserta', 'skin', 'care', 'nya', 'tapitidak', 'pernah', 'menerima', 'sheet', 'mask', 'complaint', 'lama', 'banget', 'ujung', 'ujung', 'nya', 'tidak', 'ditindak', 'lanjuti', 'kecewa', 'banget']"
24,harusnya dpt free sesuai jam ordernya udah buru cekout biar ga habis pesenan  yg dtg cuma produk nya free nya ga dapat asli kecewa dan baru ngalamin yg ginian,Negatif,harusnya dapat free sesuai jam ordernya sudah buru cekout biar enggak habis pesanan  yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang beginian,"['harusnya', 'dapat', 'free', 'sesuai', 'jam', 'ordernya', 'sudah', 'buru', 'cekout', 'biar', 'enggak', 'habis', 'pesanan', 'yang', 'datang', 'cuma', 'produk', 'nya', 'free', 'nya', 'enggak', 'dapat', 'asli', 'kecewa', 'dan', 'baru', 'ngalamin', 'yang', 'beginian']","['harusnya', 'free', 'sesuai', 'jam', 'ordernya', 'buru', 'cekout', 'biar', 'enggak', 'habis', 'pesanan', 'datang', 'cuma', 'produk', 'nya', 'free', 'nya', 'enggak', 'asli', 'kecewa', 'baru', 'ngalamin', 'beginian']"
25,melembabkan banget teksturnya kental tp cepet banget nyerepnya,Netral,melembabkan banget teksturnya kental tapi cepat banget nyerepnya,"['melembabkan', 'banget', 'teksturnya', 'kental', 'tapi', 'cepat', 'banget', 'nyerepnya']","['melembabkan', 'banget', 'teksturnya', 'kental', 'cepat', 'banget', 'nyerepnya']"
26,packaging nya jelek banget ini sih kyk nya ad oknum yg mau ngambil barangnya kardusnya di buka di bagian samping yg ga di segel tolong next nya packing lbh baik lagi,Negatif,packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik lagi,"['packaging', 'nya', 'jelek', 'banget', 'ini', 'sih', 'kayak', 'nya', 'ada', 'oknum', 'yang', 'mau', 'ngambil', 'barangnya', 'kardusnya', 'di', 'buka', 'di', 'bagian', 'samping', 'yang', 'enggak', 'di', 'segel', 'tolong', 'next', 'nya', 'packing', 'lebih', 'baik', 'lagi']","['packaging', 'nya', 'jelek', 'banget', 'sih', 'kayak', 'nya', 'oknum', 'mau', 'ngambil', 'barangnya', 'kardusnya', 'buka', 'bagian', 'samping', 'enggak', 'segel', 'next', 'nya', 'packing', 'lebih', 'baik']"
27,tertipu tidak ada gratis hadiah sarung seperti di gambar,Negatif,tertipu tidak ada gratis hadiah sarung seperti di gambar,"['tertipu', 'tidak', 'ada', 'gratis', 'hadiah', 'sarung', 'seperti', 'di', 'gambar']","['tertipu', 'tidak', 'gratis', 'hadiah', 'sarung', 'gambar']"
28,dijanjikan expired th tapi dapetnya bulan,Negatif,dijanjikan expired tahu tapi dapetnya bulan,"['dijanjikan', 'expired', 'tahu', 'tapi', 'dapetnya', 'bulan']","['dijanjikan', 'expired', 'tahu', 'dapetnya', 'bulan']"
29,pesen masker yang dikirim my bad ga di video unboxing nya tapi kecewa banget bisa lalai bgt team packing nya please kerja yg fokus dan bener biar customer ga dirugikan begini ga semua orang sempet bikin video unboxing begitu so sorry kasih bintang karna beneran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesen disini sesibuk apapun sempetin video unboxing,Negatif,pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing,"['pesan', 'masker', 'yang', 'dikirim', 'my', 'bad', 'enggak', 'di', 'video', 'unboxing', 'nya', 'tapi', 'kecewa', 'banget', 'bisa', 'lalai', 'banget', 'team', 'packing', 'nya', 'please', 'kerja', 'yang', 'fokus', 'dan', 'benar', 'biar', 'customer', 'enggak', 'dirugikan', 'begini', 'enggak', 'semua', 'orang', 'sempat', 'bikin', 'video', 'unboxing', 'begitu', 'so', 'sorry', 'kasih', 'bintang', 'karena', 'benaran', 'kecewa', 'buat', 'customer', 'yang', 'lain', 'kalo', 'baca', 'ini', 'please', 'be', 'more', 'careful', 'ya', 'kalo', 'pesan', 'disini', 'sesibuk', 'apapun', 'sempetin', 'video', 'unboxing']","['pesan', 'masker', 'dikirim', 'my', 'bad', 'enggak', 'video', 'unboxing', 'nya', 'kecewa', 'banget', 'lalai', 'banget', 'team', 'packing', 'nya', 'please', 'kerja', 'fokus', 'benar', 'biar', 'customer', 'enggak', 'dirugikan', 'begini', 'enggak', 'semua', 'orang', 'sempat', 'bikin', 'video', 'unboxing', 'so', 'sorry', 'kasih', 'bintang', 'benaran', 'kecewa', 'buat', 'customer', 'kalo', 'baca', 'please', 'be', 'more', 'careful', 'kalo', 'pesan', 'disini', 'sesibuk', 'apapun', 'sempetin', 'video', 'unboxing']"
30,bahan ringan smg cocok,Positif,bahan ringan semoga cocok,"['bahan', 'ringan', 'semoga', 'cocok']","['bahan', 'ringan', 'semoga', 'cocok']"
31,tipe kulitku berminyak,Netral,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'berminyak']"
32,ringan bgt dibibir lup lup dh bwt azarine,Netral,ringan banget dibibir lup lup dah buat azarine,"['ringan', 'banget', 'dibibir', 'lup', 'lup', 'dah', 'buat', 'azarine']","['ringan', 'banget', 'dibibir', 'lup', 'lup', 'dah', 'buat', 'azarine']"
33,no review found,Netral,no review found,"['no', 'review', 'found']","['no', 'review', 'found']"
34,kali ini paket white series yg dtng cmn harusnya udh komplain tpi ngga direspon samsek pantes didalam paket ada kertas cara ngajuin komplain trnyata emng ga beres isinya,Negatif,kali ini paket white series yang datang cuman harusnya sudah komplain tapi enggak direspon sama sekali pantas didalam paket ada kertas cara mengajukan komplain ternyata memang enggak beres isinya,"['kali', 'ini', 'paket', 'white', 'series', 'yang', 'datang', 'cuman', 'harusnya', 'sudah', 'komplain', 'tapi', 'enggak', 'direspon', 'sama', 'sekali', 'pantas', 'didalam', 'paket', 'ada', 'kertas', 'cara', 'mengajukan', 'komplain', 'ternyata', 'memang', 'enggak', 'beres', 'isinya']","['kali', 'paket', 'white', 'series', 'datang', 'cuman', 'harusnya', 'komplain', 'enggak', 'direspon', 'sama', 'sekali', 'pantas', 'didalam', 'paket', 'kertas', 'cara', 'mengajukan', 'komplain', 'ternyata', 'memang', 'enggak', 'beres', 'isinya']"
35,tidak sampai barang nya,Negatif,tidak sampai barang nya,"['tidak', 'sampai', 'barang', 'nya']","['tidak', 'barang', 'nya']"
36,bikin bruntusan yg geleuh muka jadi keliatan dan kerasa kotor bgt ewh udh pake sunscreen dan toner yg soft light gitu no deh bener kata org ini buat kulit sensitif dan kering jangan pake akhirnya buat tangan dan area tubuh yg gelap aja deh,Negatif,bikin bruntusan yang geleuh muka jadi kelihatan dan kerasa kotor banget ewh sudah pakai sunscreen dan toner yang soft light begitu no deh benar kata orang ini buat kulit sensitif dan kering jangan pakai akhirnya buat tangan dan area tubuh yang gelap saja deh,"['bikin', 'bruntusan', 'yang', 'geleuh', 'muka', 'jadi', 'kelihatan', 'dan', 'kerasa', 'kotor', 'banget', 'ewh', 'sudah', 'pakai', 'sunscreen', 'dan', 'toner', 'yang', 'soft', 'light', 'begitu', 'no', 'deh', 'benar', 'kata', 'orang', 'ini', 'buat', 'kulit', 'sensitif', 'dan', 'kering', 'jangan', 'pakai', 'akhirnya', 'buat', 'tangan', 'dan', 'area', 'tubuh', 'yang', 'gelap', 'saja', 'deh']","['bikin', 'bruntusan', 'geleuh', 'muka', 'jadi', 'kelihatan', 'kerasa', 'kotor', 'banget', 'ewh', 'pakai', 'sunscreen', 'toner', 'soft', 'light', 'no', 'deh', 'benar', 'kata', 'orang', 'buat', 'kulit', 'sensitif', 'kering', 'jangan', 'pakai', 'akhirnya', 'buat', 'tangan', 'area', 'tubuh', 'gelap', 'deh']"
37,serumnya ga dikirim,Negatif,serumnya enggak dikirim,"['serumnya', 'enggak', 'dikirim']","['serumnya', 'enggak', 'dikirim']"
38,baru pertama coba dan udah dipake beberapa hari sunscreennya bagus banget cocok buat acne face kuu ga lengket sama sekali,Positif,baru pertama coba dan sudah dipakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali,"['baru', 'pertama', 'coba', 'dan', 'sudah', 'dipakai', 'beberapa', 'hari', 'sunscreennya', 'bagus', 'banget', 'cocok', 'buat', 'acne', 'face', 'ku', 'enggak', 'lengket', 'sama', 'sekali']","['baru', 'pertama', 'coba', 'dipakai', 'beberapa', 'hari', 'sunscreennya', 'bagus', 'banget', 'cocok', 'buat', 'acne', 'face', 'ku', 'enggak', 'lengket', 'sama', 'sekali']"
39,love banget makasih azarine tadinya beli karena dapet pc tapi ternyata emang bagus banget velvety lippie cream nyaa dan walau ga cocok warm tone ini bagus banget di akuu,Positif,love banget terima kasih azarine tadinya beli karena dapat pc tapi ternyata memang bagus banget velvety lippie cream nya dan walau enggak cocok warm tone ini bagus banget di aku,"['love', 'banget', 'terima', 'kasih', 'azarine', 'tadinya', 'beli', 'karena', 'dapat', 'pc', 'tapi', 'ternyata', 'memang', 'bagus', 'banget', 'velvety', 'lippie', 'cream', 'nya', 'dan', 'walau', 'enggak', 'cocok', 'warm', 'tone', 'ini', 'bagus', 'banget', 'di', 'aku']","['love', 'banget', 'terima', 'kasih', 'azarine', 'tadinya', 'beli', 'pc', 'ternyata', 'memang', 'bagus', 'banget', 'velvety', 'lippie', 'cream', 'nya', 'enggak', 'cocok', 'warm', 'tone', 'bagus', 'banget', 'aku']"
40,pertama kali coba elum tau si,Netral,pertama kali coba belum tau sih,"['pertama', 'kali', 'coba', 'belum', 'tau', 'sih']","['pertama', 'kali', 'coba', 'belum', 'tau', 'sih']"
41,realpict sukses selalu seller,Positif,realpict sukses selalu seller,"['realpict', 'sukses', 'selalu', 'seller']","['realpict', 'sukses', 'selalu', 'seller']"
42,smuaa ok cuma ky nya kulitku yg ga cocok sm sunscreennya ngerasa lengket bgt makenya so sorry,Netral,semua ok cuma kaya nya kulitku yang enggak cocok sama sunscreennya merasa lengket banget makenya so sorry,"['semua', 'ok', 'cuma', 'kaya', 'nya', 'kulitku', 'yang', 'enggak', 'cocok', 'sama', 'sunscreennya', 'merasa', 'lengket', 'banget', 'makenya', 'so', 'sorry']","['semua', 'cuma', 'kaya', 'nya', 'kulitku', 'enggak', 'cocok', 'sama', 'sunscreennya', 'merasa', 'lengket', 'banget', 'makenya', 'so', 'sorry']"
43,baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat,Positif,baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat,"['baru', 'pertama', 'coba', 'semoga', 'cocok', 'pengemasan', 'cepat', 'dan', 'aman', 'pengiriman', 'cepat']","['baru', 'pertama', 'coba', 'semoga', 'cocok', 'pengemasan', 'cepat', 'aman', 'pengiriman', 'cepat']"
44,saya pesen dua paket twin pack dan lg yg ini harusanya saya terima produk tp saya hanya terima saya tidak sempat melakukan video unboxing jd td bisa klaim mohon untuk setelahnya lbh berhati dan memperhatikan produk yg akan dikirim apa sudah sesuai dgn pesanan atau blm,Negatif,saya pesan dua paket twin pack dan lagi yang ini harusanya saya terima produk tapi saya hanya terima saya tidak sempat melakukan video unboxing jadi tadi bisa klaim mohon untuk setelahnya lebih berhati dan memperhatikan produk yang akan dikirim apa sudah sesuai dengan pesanan atau belum,"['saya', 'pesan', 'dua', 'paket', 'twin', 'pack', 'dan', 'lagi', 'yang', 'ini', 'harusanya', 'saya', 'terima', 'produk', 'tapi', 'saya', 'hanya', 'terima', 'saya', 'tidak', 'sempat', 'melakukan', 'video', 'unboxing', 'jadi', 'tadi', 'bisa', 'klaim', 'mohon', 'untuk', 'setelahnya', 'lebih', 'berhati', 'dan', 'memperhatikan', 'produk', 'yang', 'akan', 'dikirim', 'apa', 'sudah', 'sesuai', 'dengan', 'pesanan', 'atau', 'belum']","['pesan', 'paket', 'twin', 'pack', 'harusanya', 'terima', 'produk', 'terima', 'tidak', 'sempat', 'melakukan', 'video', 'unboxing', 'jadi', 'tadi', 'klaim', 'mohon', 'setelahnya', 'lebih', 'berhati', 'memperhatikan', 'produk', 'dikirim', 'apa', 'sesuai', 'pesanan', 'belum']"
45,pelayanan admin nya jelek,Negatif,pelayanan admin nya jelek,"['pelayanan', 'admin', 'nya', 'jelek']","['pelayanan', 'admin', 'nya', 'jelek']"
46,agak kesel ya aku udah nunggu barangnya dan yang dateng salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesen alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kaya gini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya ga bisa dilampirkan pula ada tulisan ada gangguan di rumah toped gatau deh serah di cek aja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,Negatif,agak kesel ya aku sudah menunggu barangnya dan yang datang salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesan alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kayak begini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya enggak bisa dilampirkan pula ada tulisan ada gangguan di rumah toped enggak tau deh serah di cek saja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,"['agak', 'kesel', 'ya', 'aku', 'sudah', 'menunggu', 'barangnya', 'dan', 'yang', 'datang', 'salah', 'dong', 'produknya', 'mana', 'di', 'bungkusnya', 'sesuai', 'sama', 'produk', 'yang', 'aku', 'pesan', 'alhasil', 'aku', 'buka', 'tanpa', 'di', 'video', 'tolong', 'banget', 'kalau', 'semisal', 'packing', 'di', 'cek', 'dulu', 'jangan', 'salah', 'kirim', 'kayak', 'begini', 'selain', 'rugi', 'di', 'harga', 'aku', 'juga', 'jadi', 'kehilangan', 'kepercayaan', 'sama', 'ini', 'toko', 'mana', 'lama', 'juga', 'mana', 'ini', 'fotonya', 'enggak', 'bisa', 'dilampirkan', 'pula', 'ada', 'tulisan', 'ada', 'gangguan', 'di', 'rumah', 'toped', 'enggak', 'tau', 'deh', 'serah', 'di', 'cek', 'saja', 'di', 'data', 'gudang', 'seharusnya', 'data', 'pembelian', 'dan', 'produk', 'yang', 'ada', 'di', 'gudang', 'jumlahnya', 'beda']","['kesel', 'aku', 'menunggu', 'barangnya', 'datang', 'salah', 'dong', 'produknya', 'mana', 'bungkusnya', 'sesuai', 'sama', 'produk', 'aku', 'pesan', 'alhasil', 'aku', 'buka', 'tanpa', 'video', 'banget', 'kalau', 'semisal', 'packing', 'cek', 'dulu', 'jangan', 'salah', 'kirim', 'kayak', 'begini', 'rugi', 'harga', 'aku', 'jadi', 'kehilangan', 'kepercayaan', 'sama', 'toko', 'mana', 'lama', 'mana', 'fotonya', 'enggak', 'dilampirkan', 'tulisan', 'gangguan', 'rumah', 'toped', 'enggak', 'tau', 'deh', 'serah', 'cek', 'data', 'gudang', 'data', 'pembelian', 'produk', 'gudang', 'jumlahnya', 'beda']"
47,barang yang dikirim cuman harusnya karena saya beli twin pack,Negatif,barang yang dikirim cuman harusnya karena saya beli twin pack,"['barang', 'yang', 'dikirim', 'cuman', 'harusnya', 'karena', 'saya', 'beli', 'twin', 'pack']","['barang', 'dikirim', 'cuman', 'harusnya', 'beli', 'twin', 'pack']"
